Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Pedro Henrique,BRA,"FW,MF",Corinthians,33,1990,3.9,2,0,0,7,9,4,17,1,4,0,0,0,9,9,8,52.9
Pedro Henrique,BRA,DF,RB Bragantino,28,1995,26.4,4,0,0,21,19,1,1,24,32,0,2,0,98,55,49,52.9
Hércules,BRA,MF,Fortaleza,23,2000,25.7,6,2,0,44,11,2,33,6,34,0,0,0,107,9,21,30.0
Marcelo Hermes,BRA,"DF,MF",Criciúma,28,1995,35.6,4,0,0,32,19,2,221,41,33,0,0,0,119,38,47,44.7
Diego Hernández,URU,"FW,MF",Botafogo (RJ),23,2000,2.3,3,0,0,12,6,1,16,1,4,0,0,0,18,1,1,50.0
Lucca Holanda,BRA,"FW,MF",Internacional,20,2003,3.3,0,0,0,6,7,1,2,0,3,0,0,0,6,8,12,40.0
Hugo,BRA,DF,Corinthians,26,1997,20.2,3,0,0,39,11,0,22,21,25,0,1,0,77,46,26,63.9
Hugo,BRA,DF,Botafogo (RJ),22,2001,4.9,0,0,0,7,7,0,19,5,7,0,1,0,22,1,6,14.3
José Hugo,BRA,"MF,FW",Vitória,24,1999,7.0,3,0,0,12,16,1,39,6,11,0,0,0,39,10,18,35.7
Victor Hugo,BRA,"FW,MF",Flamengo,19,2004,2.9,1,0,0,1,3,0,5,0,4,0,0,0,14,4,7,36.4
Victor Hugo,BRA,"MF,FW",Fluminense,19,2004,1.2,1,0,0,4,1,0,0,3,0,0,0,0,9,1,0,100.0
Vitor Hugo,BRA,DF,Bahia,32,1991,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0
Hulk,BRA,"FW,MF",Atlético Mineiro,37,1986,21.0,5,1,1,24,70,7,32,1,5,1,0,0,50,23,35,39.7
José Hurtado,ECU,DF,RB Bragantino,22,2001,14.7,2,0,0,14,8,1,56,19,15,0,0,0,59,11,16,40.7
Hyoran,BRA,"FW,MF",Internacional,30,1993,3.7,0,0,0,7,9,1,14,0,6,0,0,0,11,2,4,33.3
Iago,BRA,"DF,MF",Bahia,26,1997,4.5,0,0,0,5,8,0,10,7,8,0,0,0,22,4,0,100.0
Ignácio,BRA,DF,Fluminense,27,1996,2.1,0,0,0,2,3,0,0,0,6,0,0,0,5,8,3,72.7
Juan Ignacio Dinenno,ARG,"FW,DF",Cruzeiro,29,1994,2.7,0,0,0,1,3,1,0,0,2,0,0,0,5,10,9,52.6
Igor,BRA,DF,São Paulo,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Igor,BRA,MF,Flamengo,20,2003,0.8,1,0,0,1,2,0,0,3,3,0,0,0,6,1,3,25.0
Gabriel Inocêncio,BRA,DF,Juventude,29,1994,9.8,2,0,0,22,17,2,19,9,19,0,2,0,61,15,13,53.6
Isaac,BRA,FW,Atlético Mineiro,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Isaac,BRA,"FW,MF",Fluminense,19,2004,1.9,0,0,0,1,6,0,2,0,3,0,0,0,7,0,1,0.0
Isaque,BRA,FW,Fluminense,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zé Ivaldo,BRA,DF,Cruzeiro,26,1997,26.2,9,0,0,29,20,3,12,19,17,0,1,0,118,52,21,71.2
Jadsom,BRA,"MF,DF",RB Bragantino,22,2001,18.5,10,1,0,40,4,0,15,27,41,0,0,0,85,16,25,39.0
Jadson,BRA,MF,Juventude,30,1993,31.6,15,1,1,43,64,1,33,37,51,1,1,0,210,11,25,30.6
Jadson,BRA,"FW,MF",Cuiabá,18,2005,1.7,0,0,0,2,0,0,0,2,1,0,0,0,4,1,1,50.0
Jair,BRA,MF,Vasco da Gama,29,1994,3.0,2,0,0,8,4,0,0,4,7,0,0,0,17,2,1,66.7
Janderson,BRA,"FW,MF",Atl Goianiense,24,1999,10.7,4,1,0,17,26,1,79,5,11,0,0,0,49,2,12,14.3
Janderson,BRA,"FW,MF",Vitória,24,1999,15.5,6,0,0,26,19,3,14,6,14,0,0,0,65,42,60,41.2
Jandrei,BRA,GK,São Paulo,30,1993,13.0,0,0,0,0,8,0,0,0,0,0,0,0,6,4,0,100.0
Léo Jardim,BRA,GK,Vasco da Gama,28,1995,38.0,0,0,0,0,2,0,0,0,0,0,0,0,35,7,2,77.8
Jeffinho,BRA,"FW,MF",Botafogo (RJ),24,1999,3.9,2,0,0,7,6,0,4,2,2,0,0,0,22,2,7,22.2
Jemerson,BRA,DF,Atlético Mineiro,31,1992,2.3,2,0,0,2,4,0,1,5,1,0,0,0,10,8,2,80.0
Jemerson,BRA,DF,Grêmio,31,1992,12.7,5,0,0,16,5,1,1,8,10,0,2,0,34,23,15,60.5
Caíque de Jesus Gonçalves,BRA,MF,Juventude,28,1995,15.8,5,0,0,20,28,0,2,24,24,0,1,0,95,14,13,51.9
Igor Jesus,BRA,FW,Botafogo (RJ),22,2001,16.2,2,0,0,22,43,10,6,2,7,0,0,0,48,47,76,38.2
Jhon Jhon,BRA,MF,Palmeiras,21,2002,1.6,0,0,0,0,1,0,8,3,3,0,0,0,9,1,5,16.7
Jhon Jhon,BRA,"MF,FW",RB Bragantino,21,2002,12.9,2,0,0,18,16,0,20,4,17,1,0,0,60,8,20,28.6
Jhosefer,BRA,FW,Cruzeiro,19,2004,0.1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,
John,BRA,GK,Botafogo (RJ),27,1996,34.0,3,0,0,1,3,0,0,0,0,0,0,0,41,7,0,100.0
Felipe Jonatan,BRA,DF,Fortaleza,25,1998,16.8,0,0,0,13,26,1,51,23,16,0,0,0,76,18,17,51.4
Jonathan,BRA,DF,Cruzeiro,19,2004,3.8,0,0,0,3,2,0,0,6,3,0,0,0,14,3,3,50.0
Jonathan,BRA,DF,Criciúma,31,1992,7.8,2,0,0,11,4,0,17,9,12,0,0,0,36,7,12,36.8
Kaio Jorge,BRA,FW,Cruzeiro,22,2002,12.9,3,0,0,24,19,2,3,0,1,0,0,0,21,17,41,29.3
Jorginho,BRA,"MF,FW",Atl Goianiense,33,1991,0.8,1,0,0,1,3,0,2,1,0,1,0,0,3,1,1,50.0
Luciano Juba,BRA,DF,Bahia,24,1999,34.6,2,0,0,7,13,2,117,52,32,0,0,0,174,29,30,49.2
Juliano,BRA,FW,RB Bragantino,15,2008,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.0
Julimar,BRA,"FW,MF",Ath Paranaense,23,2001,18.5,4,0,0,30,13,4,43,16,19,0,0,0,74,53,37,58.9
Daniel Júnior,BRA,"MF,FW",Vitória,21,2002,1.5,1,0,0,1,7,0,5,0,1,0,0,0,11,1,0,100.0
Kaiki,BRA,DF,Cruzeiro,20,2003,13.2,4,0,0,22,24,2,30,26,31,0,0,0,60,14,24,36.8
Lucas Kal,BRA,"MF,DF",Atl Goianiense,27,1996,12.8,1,0,0,11,4,0,7,15,7,0,0,0,45,14,12,53.8
Walter Kannemann,ARG,DF,Grêmio,32,1991,11.1,7,1,0,23,9,0,0,19,12,0,1,0,31,28,6,82.4
Kanu,BRA,DF,Bahia,26,1997,30.0,12,0,0,34,29,1,0,33,18,0,1,0,103,48,37,56.5
Alan Kardec,BRA,FW,Atlético Mineiro,35,1989,4.6,0,0,0,8,7,1,0,1,3,0,0,0,10,27,18,60.0
Kauan,BRA,MF,Fortaleza,18,2005,0.6,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,66.7
Kauan,BRA,"FW,MF",Cuiabá,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kauê,BRA,"MF,FW",Botafogo (RJ),19,2004,1.9,0,0,0,6,2,0,6,0,0,0,0,0,6,2,2,50.0
Kayke,BRA,"MF,FW",Corinthians,19,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Renato Kayser,BRA,FW,Criciúma,27,1996,0.9,0,0,0,0,2,2,0,0,0,0,0,0,1,3,2,60.0
Renato Kayser,BRA,FW,Fortaleza,27,1996,12.4,2,1,0,33,23,6,2,2,7,0,0,0,38,27,70,27.8
Kenji,BRA,"FW,MF",Cruzeiro,18,2006,0.5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,
John Kennedy,BRA,"FW,MF",Fluminense,21,2002,7.5,1,0,0,15,17,2,2,0,3,0,0,0,13,11,22,33.3
Keno,BRA,"FW,MF",Fluminense,34,1989,15.5,4,0,0,18,26,7,45,8,17,0,0,0,44,8,9,47.1
Kleiton,BRA,FW,Juventude,24,1999,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,33.3
Gabriel Knesowitsch,BRA,DF,Cuiabá,20,2003,3.2,1,0,0,0,4,0,0,4,5,0,0,0,6,5,6,45.5
Benjamín Kuscevic,CHI,DF,Fortaleza,27,1996,20.6,8,1,1,17,7,1,1,20,18,0,0,0,62,54,40,57.4
Matías Lacava,VEN,"FW,MF",Atl Goianiense,21,2002,5.3,2,0,0,11,8,1,26,3,9,0,0,0,22,0,7,0.0
Derik Lacerda,BRA,"FW,MF",Cuiabá,24,1999,15.8,8,0,0,22,36,2,8,3,11,0,0,0,43,36,31,53.7
Ignacio Laquintana,URU,"FW,MF",RB Bragantino,24,1999,3.1,1,0,0,5,4,1,6,3,1,0,0,0,15,2,1,66.7
Lawan,BRA,FW,Vitória,18,2005,1.2,1,0,0,4,3,0,0,0,0,0,0,0,4,8,9,47.1
Lázaro,BRA,"FW,MF",Palmeiras,21,2002,8.6,0,0,0,8,13,1,15,0,3,0,0,0,27,8,15,34.8
Leandrinho,BRA,"DF,FW",Vasco da Gama,18,2005,6.0,1,0,0,11,11,0,15,3,8,0,0,0,27,9,6,60.0
Mauricio Lemos,URU,DF,Atlético Mineiro,28,1995,4.2,3,0,0,10,2,1,2,4,2,0,0,0,11,11,9,55.0
Willean Lepo,BRA,DF,Vitória,27,1997,19.9,5,0,0,18,19,2,55,30,48,0,0,0,106,36,36,50.0
Jamal Lewis,NIR,DF,São Paulo,26,1998,2.4,0,0,0,3,0,0,10,0,3,0,0,0,3,3,2,60.0
Lima,BRA,"MF,FW",Fluminense,27,1996,20.5,8,1,1,32,51,2,44,20,20,1,1,0,105,10,29,25.6
Leonardo Linck,BRA,GK,Ath Paranaense,22,2001,13.6,0,2,0,0,1,0,0,0,0,0,0,0,10,3,0,100.0
Lincoln,BRA,"MF,FW",RB Bragantino,25,1998,17.2,4,0,0,18,40,1,87,10,21,0,0,0,71,8,14,36.4
Liziero,BRA,"MF,DF",São Paulo,25,1998,3.4,1,0,0,10,4,0,6,2,8,0,0,0,15,4,2,66.7
