Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Marc Cardona,ESP,"FW,DF",Las Palmas,29,1995,1.5,4,2,1,3,0,0,1,0.0,1,0,0,0,0,4,0,0
Sergi Cardona,ESP,DF,Villarreal,25,1999,32.7,71,48,44,20,7,49,79,62.0,30,52,7,45,40,111,122,1
Johnny Cardoso,USA,MF,Betis,22,2001,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1
José Carlos González,ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Carmona,ESP,DF,Sevilla,22,2002,32.7,83,59,53,21,9,41,77,53.2,36,37,11,26,68,151,92,3
Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,18.4,28,16,16,6,6,14,26,53.8,12,20,2,18,17,45,37,0
Dani Carvajal,ESP,DF,Real Madrid,32,1992,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1
William Carvalho,POR,MF,Betis,32,1992,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0
Marc Casado,ESP,MF,Barcelona,20,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1
Catena,ESP,DF,Osasuna,29,1994,34.2,46,28,34,10,2,27,44,61.4,17,40,25,15,35,81,221,2
Maximiliano Caufriez,BEL,DF,Valencia,27,1997,1.0,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0
Dani Ceballos,ESP,MF,Real Madrid,27,1996,13.5,41,21,17,18,6,20,40,50.0,20,16,4,12,14,55,10,2
Franco Cervi,ARG,"FW,MF",Celta Vigo,30,1994,3.0,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0
Raúl Chasco,ESP,DF,Valladolid,20,2003,1.4,4,1,3,1,0,2,4,50.0,2,1,0,1,2,6,2,0
Pep Chavarría,ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,46,36,30,14,2,28,45,62.2,17,35,9,26,30,76,108,1
Walid Cheddira,MAR,FW,Espanyol,26,1998,7.1,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0
Chema,ESP,MF,Real Madrid,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Julián Chicco,ARG,"MF,DF",Leganés,26,1998,3.4,11,7,3,6,2,5,8,62.5,3,2,0,2,4,15,10,0
Chiquinho,POR,"MF,FW",Mallorca,24,2000,1.6,1,0,0,1,0,0,7,0.0,7,3,0,3,2,3,0,0
Andreas Christensen,DEN,DF,Barcelona,28,1996,2.8,6,4,4,1,1,4,4,100.0,0,2,0,2,4,10,9,0
Jasper Cillessen,NED,GK,Las Palmas,35,1989,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,49,24,26,22,1,20,41,48.8,21,31,10,21,40,89,61,3
Seydouba Cissé,GUI,MF,Leganés,23,2001,27.1,59,37,18,27,14,23,50,46.0,27,25,1,24,12,71,45,1
Silvi Clúa,ESP,MF,Girona,19,2005,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0
Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,19.8,24,14,15,9,0,12,21,57.1,9,28,15,13,24,48,75,2
Santi Comesaña,ESP,MF,Villarreal,27,1996,28.4,85,49,44,32,9,42,76,55.3,34,56,22,34,19,104,56,1
