Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
444,Vitinha,pt POR,MF,Paris S-G,25-313,2000,15,13,1107,12.3,1,6,7,1,0,0,1,0,0.8,0.8,1.8,2.6,46,150,16,0.08,0.49,0.57,0.08,0.57,0.06,0.15,0.21,0.06,0.21,Matches
445,Alexis Vossah,fr FRA,MF,Toulouse,17-287,2008,12,4,490,5.4,1,1,2,1,0,0,1,1,0.5,0.5,0.3,0.8,1,9,9,0.18,0.18,0.37,0.18,0.37,0.10,0.05,0.15,0.10,0.15,Matches
446,Timothy Weah,us USA,"DF,FW",Marseille,25-304,2000,13,11,881,9.8,1,1,2,1,0,0,1,0,0.5,0.5,1.2,1.7,26,29,94,0.10,0.10,0.20,0.10,0.20,0.05,0.12,0.17,0.05,0.17,Matches
447,Christopher Wooh,cm CMR,DF,Rennes,24-096,2001,2,1,64,0.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
448,Terry Yegbe,gh GHA,DF,Metz,24-332,2001,13,12,1094,12.2,0,1,1,0,0,0,0,0,0.6,0.6,0.5,1.1,1,17,1,0.00,0.08,0.08,0.00,0.08,0.05,0.04,0.09,0.05,0.09,Matches
449,Bertuğ Yıldırım,tr TUR,FW,Rennes,23-164,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,4.85,4.85,0.00,4.85,Matches
450,Darlin Yongwa,cm CMR,DF,Lorient,25-092,2000,14,9,794,8.8,0,0,0,0,0,0,2,1,0.2,0.2,1.0,1.3,22,41,20,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Matches
451,Etienne Youte Kinkoue,fr FRA,"DF,MF",Le Havre,23-343,2002,7,3,326,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
452,Illia Zabarnyi,ua UKR,DF,Paris S-G,23-113,2002,13,12,1103,12.3,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,10,64,9,0.08,0.00,0.08,0.08,0.08,0.01,0.01,0.02,0.01,0.02,Matches
453,Stephan Zagadou,fr FRA,DF,Le Havre,17-060,2008,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
454,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris S-G,19-290,2006,16,14,1247,13.9,1,1,2,1,0,0,1,0,0.4,0.4,2.3,2.7,46,104,61,0.07,0.07,0.14,0.07,0.14,0.03,0.17,0.20,0.03,0.20,Matches
455,Denis Zakaria,ch SUI,MF,Monaco,29-033,1996,7,6,527,5.9,0,1,1,0,0,0,2,1,0.0,0.0,1.2,1.2,8,25,7,0.00,0.17,0.17,0.00,0.17,0.00,0.21,0.21,0.00,0.21,Matches
456,Melvin Zinga,fr FRA,GK,Angers,23-282,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
457,Luck Zogbé,ci CIV,"FW,DF",Brest,20-274,2005,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
458,Yanis Zouaoui,dz ALG,DF,Le Havre,31-166,1994,15,14,1232,13.7,0,1,1,0,0,0,4,0,0.5,0.5,1.5,2.0,32,52,46,0.00,0.07,0.07,0.00,0.07,0.04,0.11,0.15,0.04,0.15,Matches
