Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Malick Fofana,BEL,FW,Lyon,20-267,2005,8.0,11,5,2,7,2,4,6,66.7,2,2,0,2,3,14,3,0
Rayan Fofana,FRA,FW,Lens,19-314,2006,5.0,8,4,3,2,3,2,4,50.0,2,8,1,7,2,10,5,0
Seko Fofana,CIV,MF,Rennes,30-230,1995,7.3,3,2,1,1,1,3,7,42.9,4,4,1,3,4,7,9,0
Przemysław Frankowski,POL,DF,Rennes,30-255,1995,9.0,29,17,18,11,0,16,30,53.3,14,5,0,5,4,33,26,1
Ismaëlo Ganiou,BFA,DF,Lens,20-284,2005,4.8,8,6,2,4,2,5,6,83.3,1,7,4,3,6,14,17,0
Ulisses Garcia,SUI,DF,Marseille,29-346,1996,2.3,3,2,2,1,0,2,4,50.0,2,3,2,1,0,3,6,0
Jean-Philippe Gbamin,CIV,DF,Metz,30-089,1995,15.2,29,15,23,6,0,18,29,62.1,11,21,9,12,12,41,59,0
Yann Gboho,FRA,"MF,FW",Toulouse,24-343,2001,14.0,8,6,4,4,0,5,13,38.5,8,8,0,8,6,14,1,0
Willem Geubbels,FRA,FW,Paris FC,24-129,2001,6.4,1,1,0,1,0,0,2,0.0,2,4,2,2,2,3,6,0
Rachid Ghezzal,ALG,FW,Lyon,33-228,1992,1.6,5,3,3,0,2,3,6,50.0,3,1,0,1,0,5,4,0
Olivier Giroud,FRA,FW,Lille,39-084,1986,11.4,6,6,3,3,0,3,7,42.9,4,5,2,3,3,9,10,1
Martial Godo,ENG,"MF,DF",Strasbourg,22-284,2003,3.4,2,1,0,2,0,0,2,0.0,2,2,0,2,4,6,4,0
Maxima Goffi,FRA,DF,Lille,17-334,2008,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Aleksandr Golovin,RUS,"FW,MF",Monaco,29-207,1996,7.3,15,11,6,8,1,8,19,42.1,11,15,2,13,12,27,5,1
André Gomes,POR,MF,Lille,32-146,1993,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Angel Gomes,ENG,MF,Marseille,25-114,2000,9.8,10,6,2,5,3,4,9,44.4,5,6,0,6,4,14,2,0
Rafael Gonçalves,POR,MF,Strasbourg,20-308,2005,2.7,9,6,3,5,1,4,6,66.7,2,2,0,2,2,11,5,1
Alimami Gory,MLI,"FW,MF",Paris FC,29-115,1996,3.0,3,2,1,0,2,1,3,33.3,2,2,1,1,2,5,1,1
Amine Gouiri,ALG,"FW,MF",Marseille,25-310,2000,4.2,3,2,0,2,1,0,1,0.0,1,0,0,0,1,4,0,1
Tiago Gouveia,POR,"DF,MF",Nice,24-188,2001,4.2,7,3,5,1,1,3,10,30.0,7,5,0,5,5,12,4,0
Jonathan Gradit,FRA,DF,Lens,33-029,1992,9.0,17,12,11,5,1,7,10,70.0,3,11,9,2,16,33,51,1
Mason Greenwood,ENG,"FW,MF",Marseille,24-083,2001,13.6,4,4,0,4,0,3,13,23.1,10,2,0,2,2,6,2,0
Dominik Greif,SVK,GK,Lyon,28-261,1997,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0
Ismaël Guerti,FRA,MF,Metz,21-146,2004,0.3,2,1,2,0,0,0,0,,0,0,0,0,1,3,1,0
Idrissa Guèye,SEN,FW,Metz,19-098,2006,1.5,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,5,0
Morgan Guilavogui,GUI,"MF,FW",Lens,27-288,1998,5.0,14,8,4,8,2,6,11,54.5,5,6,0,6,1,15,5,0
Daouda Guindo,MLI,DF,Brest,23-070,2002,5.8,10,10,2,7,1,5,11,45.5,6,4,0,4,3,13,12,0
Bahereba Guirassy,FRA,"FW,MF",Nantes,19-116,2006,7.7,17,11,13,3,1,12,17,70.6,5,7,1,6,3,20,10,0
Achraf Hakimi,MAR,DF,Paris S-G,27-049,1998,7.3,12,8,4,6,2,5,11,45.5,6,7,0,7,4,16,4,0
Adil Hamdani,FRA,FW,Lyon,16-336,2009,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Pierre-Yves Hamel,FRA,FW,Paris FC,31-323,1994,0.9,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0
