Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Rémy Descamps,FRA,GK,Lyon,29-181,1996,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bahmed Deuff,MTN,"MF,FW",Nantes,19-285,2006,2.5,0,5,2,40.0,2.03,0.81,0.0,0.0,21.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Habib Diallo,SEN,FW,Metz,30-188,1995,10.2,3,19,8,42.1,1.85,0.78,0.16,0.38,14.8,0,0,1,4.7,3.9,0.21,-1.7,-0.9
Soriba Diaoune,FRA,"FW,MF",Lille,18-131,2007,0.2,1,2,1,50.0,10.59,5.29,0.5,1.0,12.7,0,0,0,0.2,0.2,0.12,0.8,0.8
Krépin Diatta,SEN,"DF,FW",Monaco,26-301,1999,7.3,0,5,1,20.0,0.69,0.14,0.0,0.0,18.4,0,0,0,0.7,0.7,0.13,-0.7,-0.7
Mory Diaw,SEN,GK,Le Havre,32-184,1993,16.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Diaz,CIV,DF,Brest,22-153,2003,7.2,0,3,0,0.0,0.42,0.0,0.0,,10.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Nouha Dicko,MLI,FW,Paris FC,33-223,1992,0.8,1,4,2,50.0,5.0,2.5,0.25,0.5,14.6,0,0,0,0.4,0.4,0.1,0.6,0.6
Bamba Dieng,SEN,"FW,MF",Lorient,25-275,2000,0.7,0,8,4,50.0,11.43,5.71,0.0,0.0,12.8,1,0,0,0.8,0.8,0.11,-0.8,-0.8
Eric Dier,ENG,DF,Monaco,31-342,1994,6.0,1,3,2,66.7,0.5,0.33,0.33,0.5,6.6,0,0,0,0.5,0.5,0.16,0.5,0.5
Junior Dina Ebimbe,FRA,"FW,MF",Brest,25-032,2000,3.9,1,7,2,28.6,1.81,0.52,0.14,0.5,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1
Sinaly Diomande,CIV,DF,Auxerre,24-258,2001,5.7,1,3,1,33.3,0.52,0.17,0.33,1.0,6.0,0,0,0,1.2,1.2,0.4,-0.2,-0.2
Sérigné Diop,SEN,FW,Brest,20-225,2005,0.1,0,1,0,0.0,7.5,0.0,0.0,,6.7,0,0,0,0.1,0.1,0.13,-0.1,-0.1
Sofiane Diop,MAR,"MF,FW",Nice,25-197,2000,11.0,6,27,6,22.2,2.45,0.54,0.15,0.67,19.8,1,2,2,3.9,2.4,0.09,2.1,1.6
Andy Diouf,FRA,MF,Lens,22-220,2003,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,16.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Yehvann Diouf,SEN,GK,Nice,26-037,1999,16.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Assane Dioussé,SEN,MF,Auxerre,28-094,1997,2.0,0,4,1,25.0,1.98,0.49,0.0,0.0,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Harouna Djibrin,CMR,FW,Angers,19-048,2006,1.5,2,5,3,60.0,3.28,1.97,0.4,0.67,17.6,0,0,0,1.0,1.0,0.21,1.0,1.0
Lohann Doucet,FRA,MF,Paris FC,23-100,2002,1.3,1,2,1,50.0,1.49,0.74,0.5,1.0,14.4,0,0,0,0.3,0.3,0.15,0.7,0.7
Fodé Doucouré,MLI,"MF,FW",Le Havre,24-323,2001,7.4,2,13,5,38.5,1.76,0.68,0.15,0.4,17.7,0,0,0,1.3,1.3,0.1,0.7,0.7
Désiré Doué,FRA,"FW,MF",Paris S-G,20-203,2005,4.0,2,11,4,36.4,2.78,1.01,0.18,0.5,21.2,2,0,0,1.6,1.6,0.14,0.4,0.4
Guela Doué,CIV,DF,Strasbourg,23-067,2002,11.1,1,3,2,66.7,0.27,0.18,0.33,0.5,18.1,0,0,0,1.0,1.0,0.33,0.0,0.0
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,22-152,2003,10.2,0,5,2,40.0,0.49,0.2,0.0,0.0,18.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Kamory Doumbia,MLI,MF,Brest,22-308,2003,10.1,4,24,8,33.3,2.37,0.79,0.17,0.5,17.3,0,0,0,2.6,2.6,0.11,1.4,1.4
Aron Dønnum,NOR,"MF,DF",Toulouse,27-247,1998,13.0,3,15,4,26.7,1.15,0.31,0.0,0.0,21.2,1,3,3,3.5,1.1,0.07,-0.5,-1.1
Simon Ebonog,CMR,MF,Le Havre,21-129,2004,6.1,0,7,1,14.3,1.14,0.16,0.0,0.0,19.3,0,0,0,0.8,0.8,0.11,-0.8,-0.8
Noah Edjouma,FRA,"MF,FW",Toulouse,20-080,2005,2.6,0,6,3,50.0,2.35,1.17,0.0,0.0,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Odsonne Édouard,FRA,FW,Lens,27-341,1998,9.2,7,19,13,68.4,2.07,1.42,0.32,0.46,12.0,1,1,1,4.7,3.9,0.21,2.3,2.1
CJ Egan-Riley,ENG,DF,Marseille,22-355,2003,4.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jacques Ekomie,GAB,DF,Angers,22-126,2003,11.9,0,6,3,50.0,0.5,0.25,0.0,0.0,9.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7
