Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Jack Fletcher,ENG,MF,Manchester Utd,18-279,2007,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Phil Foden,ENG,MF,Manchester City,25-209,2000,13.6,7,34,12,35.3,2.5,0.88,0.21,0.58,17.4,2,0,0,4.0,4.0,0.12,3.0,3.0
Wesley Fofana,FRA,DF,Chelsea,25-006,2000,7.4,0,2,0,0.0,0.27,0.0,0.0,,10.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Lyle Foster,RSA,FW,Burnley,25-111,2000,9.6,2,13,2,15.4,1.35,0.21,0.15,1.0,16.8,0,0,0,1.6,1.6,0.12,0.4,0.4
Jeremie Frimpong,NED,"DF,FW",Liverpool,25-013,2000,1.3,0,2,1,50.0,1.55,0.78,0.0,0.0,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Niclas Füllkrug,GER,FW,West Ham,32-317,1993,4.5,0,9,3,33.3,1.98,0.66,0.0,0.0,9.4,0,0,0,0.9,0.9,0.1,-0.9,-0.9
Cody Gakpo,NED,FW,Liverpool,26-230,1999,12.6,4,36,7,19.4,2.85,0.55,0.11,0.57,15.9,0,0,0,4.1,4.1,0.12,-0.1,-0.1
Idrissa Gana Gueye,SEN,MF,Everton,36-088,1989,11.7,2,13,3,23.1,1.11,0.26,0.15,0.67,22.0,0,0,0,1.1,1.1,0.08,0.9,0.9
Ben Gannon-Doak,SCO,FW,Bournemouth,20-042,2005,0.6,0,1,0,0.0,1.58,0.0,0.0,,14.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Alejandro Garnacho,ARG,FW,Chelsea,21-175,2004,7.2,1,20,5,25.0,2.78,0.69,0.05,0.2,15.1,0,0,0,1.9,1.9,0.09,-0.9,-0.9
James Garner,ENG,"MF,DF",Everton,24-285,2001,16.9,1,25,6,24.0,1.48,0.35,0.04,0.17,23.3,7,0,0,1.2,1.2,0.05,-0.2,-0.2
Lutsharel Geertruida,NED,"DF,MF",Sunderland,25-158,2000,7.0,0,3,1,33.3,0.43,0.14,0.0,0.0,19.7,0,0,0,0.7,0.7,0.23,-0.7,-0.7
Tyrique George,ENG,FW,Chelsea,19-322,2006,1.6,0,3,2,66.7,1.86,1.24,0.0,0.0,10.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,25-330,2000,15.8,3,36,10,27.8,2.28,0.63,0.08,0.3,17.2,3,0,0,4.0,4.0,0.11,-1.0,-1.0
Jamie Gittens,ENG,FW,Chelsea,21-137,2004,4.8,0,9,2,22.2,1.88,0.42,0.0,0.0,21.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Wilfried Gnonto,ITA,"FW,MF",Leeds United,22-048,2003,3.4,0,6,0,0.0,1.76,0.0,0.0,,20.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
João Gomes,BRA,MF,Wolves,24-314,2001,14.2,0,8,2,25.0,0.56,0.14,0.0,0.0,22.9,1,0,0,0.5,0.5,0.06,-0.5,-0.5
