Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Luan Dias,BRA,"MF,FW",Goiás,24,1997,8.6,26,3.04,23,1,1,1,0,0,2,0.23,2,0,0,0,0,0
Matheus Dias,BRA,MF,Internacional,19,2002,1.2,3,2.5,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Juan Díaz,COL,MF,Coritiba,20,2001,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Diego,BRA,"MF,DF",Ceará,33,1988,2.3,4,1.75,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Diego,BRA,GK,Atl Goianiense,23,1998,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Diego,BRA,DF,São Paulo,22,1999,19.1,12,0.63,11,0,0,0,0,1,2,0.1,2,0,0,0,0,0
Diego,BRA,MF,Flamengo,36,1985,9.8,20,2.04,18,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Diego,BRA,GK,Botafogo (RJ),23,1998,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dieguinho Diego,BRA,"MF,DF",Goiás,26,1995,32.1,73,2.27,50,4,7,4,5,3,10,0.31,8,0,0,0,1,1
Dodô,BRA,DF,Atlético Mineiro,29,1992,10.1,23,2.29,20,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Matheus Donelli,BRA,GK,Corinthians,19,2002,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Renan dos Santos,BRA,GK,Atl Goianiense,32,1989,16.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rodrigo Dourado,BRA,MF,Internacional,27,1994,5.0,4,0.8,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David Duarte,BRA,DF,Fluminense,27,1995,0.9,1,1.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dudu,BRA,DF,Juventude,19,2002,1.2,1,0.8,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Dudu,BRA,FW,Palmeiras,30,1992,31.3,147,4.7,120,5,6,4,12,0,20,0.64,19,0,0,1,0,0
Pablo Dyego,BRA,FW,Avaí,27,1994,5.4,11,2.05,6,0,1,2,2,0,2,0.37,0,0,0,1,1,0
Edenílson,BRA,MF,Internacional,32,1989,24.3,80,3.3,55,14,3,5,1,2,9,0.37,4,0,1,2,1,1
Eder,BRA,DF,América (MG),26,1995,32.7,17,0.52,14,2,0,0,0,1,2,0.06,2,0,0,0,0,0
Éder,ITA,"FW,MF",São Paulo,35,1986,7.4,13,1.76,9,1,0,1,2,0,2,0.27,1,0,0,0,1,0
Edinho,BRA,MF,Juventude,27,1994,4.1,14,3.44,11,0,0,2,1,0,1,0.25,0,0,0,1,0,0
Edson,BRA,"MF,DF",Atl Goianiense,23,1998,9.1,20,2.2,14,2,1,1,2,0,0,0.0,0,0,0,0,0,0
Edson,BRA,"DF,MF",Atl Goianiense,30,1991,15.8,10,0.63,9,0,0,0,1,0,1,0.06,0,0,0,0,1,0
Eduardo,BRA,MF,Avaí,25,1997,20.8,43,2.07,34,0,4,2,3,0,4,0.19,3,0,0,1,0,0
Carlos Eduardo,BRA,MF,Botafogo (RJ),32,1989,12.2,24,1.96,18,0,1,2,3,0,2,0.16,2,0,0,0,0,0
Carlos Eduardo,BRA,"FW,MF",RB Bragantino,25,1996,10.0,19,1.89,5,0,3,2,8,1,1,0.1,0,0,0,1,0,0
Elton,BRA,MF,Juventude,31,1990,12.9,23,1.78,19,0,0,2,0,2,1,0.08,1,0,0,0,0,0
Leandro Emmanuel Martínez,ARG,MF,América (MG),27,1994,2.9,16,5.54,7,5,0,3,0,1,0,0.0,0,0,0,0,0,0
Alan Empereur,BRA,DF,Cuiabá,27,1994,24.7,14,0.57,13,0,0,1,0,0,1,0.04,1,0,0,0,0,0
Endrick,BRA,FW,Palmeiras,15,2006,3.4,12,3.52,7,0,2,1,1,1,0,0.0,0,0,0,0,0,0
Erick,BRA,MF,Ath Paranaense,24,1997,20.5,31,1.51,27,0,1,2,1,0,1,0.05,1,0,0,0,0,0
