Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Agustín Marchesín,ARG,GK,Celta Vigo,34,1988,19.0,635,447,184,53,0,1,0,0,0,0,0,0,449,4,0
Óscar de Marcos,ESP,DF,Athletic Club,33,1989,31.3,1932,1552,372,32,0,11,130,340,0,0,0,0,1499,8,52
Alberto Marí,ESP,"FW,MF",Valencia,21,2001,1.0,20,20,0,0,0,0,0,0,0,0,0,0,8,0,0
José Mari,ESP,MF,Cádiz,34,1987,4.4,203,188,14,14,0,8,1,0,0,0,0,0,168,1,2
José María Giménez,URU,DF,Atlético Madrid,27,1995,26.9,1333,1270,62,51,0,19,0,5,0,0,0,0,1183,1,5
Mariano,DOM,FW,Real Madrid,28,1993,1.7,41,39,1,0,0,1,0,0,0,0,0,0,32,1,0
Pablo Marín,ESP,"MF,FW",Real Sociedad,19,2003,4.0,168,165,2,2,1,1,3,0,0,0,0,0,128,1,6
Diego Mariño,ESP,GK,Almería,32,1990,0.5,8,2,6,1,0,0,0,0,0,0,0,0,7,0,0
Roger Martí,ESP,FW,Elche,31,1991,7.3,160,147,10,0,0,1,5,0,0,0,0,0,118,3,8
Roger Martí,ESP,FW,Cádiz,31,1991,7.1,129,116,10,0,1,0,0,0,0,0,0,0,92,3,4
Ander Martin,ESP,"MF,FW",Real Sociedad,21,2000,0.5,24,22,2,1,0,0,4,0,1,1,0,0,12,0,0
Andrés Martín,ESP,"FW,MF",Rayo Vallecano,23,1999,2.3,77,69,5,0,0,2,11,2,3,3,0,0,39,3,4
Carlos Martín,ESP,"FW,MF",Atlético Madrid,20,2002,0.3,11,11,0,0,0,0,2,0,0,0,0,0,6,0,0
Iván Martín,ESP,MF,Girona,23,1999,17.6,672,648,23,8,0,2,18,7,0,0,0,0,565,1,18
Arnau Martinez,ESP,DF,Girona,19,2003,30.4,1599,1270,319,48,3,7,60,271,0,0,0,0,1303,10,33
Iñigo Martínez,ESP,DF,Athletic Club,31,1991,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7
Roger Martínez,ESP,DF,Espanyol,18,2004,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Omar Mascarell,EQG,"MF,DF",Elche,29,1993,27.2,1270,1183,83,56,0,20,22,4,19,1,9,3,1091,4,11
Jordi Masip,ESP,GK,Valladolid,33,1989,27.9,963,645,316,77,0,1,0,0,0,0,0,0,679,2,1
Jaime Mata,ESP,"FW,MF",Getafe,33,1988,4.9,122,119,2,0,0,0,9,1,0,0,0,0,68,1,7
Borja Mayoral,ESP,FW,Getafe,25,1997,30.7,775,737,37,0,2,11,37,3,1,0,0,0,582,1,31
Mamadou Mbaye,SEN,DF,Cádiz,24,1998,8.4,294,286,5,5,0,2,0,0,0,0,0,0,219,3,6
Fernando Medrano,ESP,DF,Celta Vigo,22,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Gonzalo Melero,ESP,MF,Almería,28,1994,20.6,755,736,17,9,1,4,2,3,0,0,0,0,652,2,15
Memphis,NED,FW,Atlético Madrid,28,1994,3.0,90,80,10,1,2,0,5,1,5,3,1,0,68,0,1
Memphis,NED,FW,Barcelona,28,1994,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1
Houboulang Mendes,GNB,DF,Almería,24,1998,9.8,335,238,96,4,0,0,31,92,0,0,0,0,239,1,9
Brais Méndez,ESP,MF,Real Sociedad,25,1997,26.7,1312,1138,169,53,7,15,125,6,103,32,49,0,1010,5,25
Diego Méndez,ESP,MF,Rayo Vallecano,18,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Ferland Mendy,FRA,DF,Real Madrid,27,1995,15.0,862,759,101,20,0,3,7,81,0,0,0,0,794,2,8
Jorge Meré,ESP,DF,Cádiz,25,1997,6.7,215,207,8,8,0,1,0,0,0,0,0,0,179,0,1
Mikel Merino,ESP,MF,Real Sociedad,26,1996,27.7,1502,1466,25,21,11,15,25,3,1,0,0,0,1145,11,32
Roque Mesa,ESP,MF,Valladolid,33,1989,18.0,963,900,55,52,4,21,12,0,1,0,0,0,790,8,14
Éder Militão,BRA,DF,Real Madrid,24,1998,30.0,1881,1756,123,52,2,40,12,25,0,0,0,0,1660,2,20
Luis Milla,ESP,MF,Getafe,27,1994,20.6,974,855,113,65,1,18,75,0,43,17,24,0,756,6,17
Pere Milla,ESP,"FW,MF",Elche,29,1992,20.5,585,555,28,4,2,5,14,6,1,0,0,0,410,2,26
Marko Milovanović,SRB,FW,Almería,18,2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1
Óscar Mingueza,ESP,DF,Celta Vigo,23,1999,14.3,908,751,154,26,3,3,29,128,0,0,0,0,721,3,15
Rafa Mir,ESP,FW,Sevilla,25,1997,14.4,262,234,26,0,1,0,6,0,0,0,0,0,176,2,9
Juan Miranda,ESP,DF,Betis,22,2000,16.4,830,658,171,26,2,3,73,130,15,2,8,0,588,1,29
Stefan Mitrović,SRB,DF,Getafe,32,1990,18.7,512,484,26,26,0,5,0,0,0,0,0,0,403,2,2
Luka Modrić,CRO,MF,Real Madrid,36,1985,19.4,1521,1415,104,41,7,22,62,10,44,22,12,0,1336,2,23
Johan Mojica,COL,DF,Villarreal,29,1992,7.1,395,329,63,8,0,0,40,51,4,1,2,0,318,3,16
Johan Mojica,COL,"DF,MF",Elche,29,1992,3.0,178,143,33,3,0,0,14,30,0,0,0,0,127,2,4
Nahuel Molina,ARG,DF,Atlético Madrid,24,1998,31.9,1930,1605,323,16,7,6,120,300,7,4,3,0,1452,2,61
Jon Moncayola,ESP,"MF,DF",Osasuna,24,1998,27.2,1461,1313,143,54,2,33,78,64,24,9,10,1,1136,5,24
Monchu,ESP,MF,Valladolid,22,1999,22.6,1054,918,128,80,5,23,76,1,46,9,28,1,833,8,10
César Montes,MEX,DF,Espanyol,25,1997,17.7,799,733,63,39,1,12,1,7,0,0,0,0,624,3,12
Gonzalo Montiel,ARG,DF,Sevilla,25,1997,16.9,851,707,138,7,3,3,39,128,3,0,2,0,661,6,21
