Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Hong Hyunseok,KOR,MF,Mainz 05,25,1999,5.9,231,227,2,0,0,0,5,1,1,1,0,0,180,2,8
Oscar Højlund,DEN,MF,Eint Frankfurt,19,2005,8.0,408,398,10,10,0,2,1,0,0,0,0,0,359,0,3
Arijon Ibrahimović,GER,FW,Bayern Munich,18,2005,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Andrej Ilic,SRB,FW,Union Berlin,24,2000,10.4,191,185,6,0,1,1,3,0,0,0,0,0,110,0,4
Jackson Irvine,AUS,MF,St. Pauli,31,1993,29.0,969,957,7,3,6,4,18,1,0,0,0,0,684,5,17
Ko Itakura,JPN,DF,Gladbach,27,1997,31.0,1817,1759,53,28,1,3,9,2,0,0,0,0,1617,5,11
Hiroki Ito,JPN,DF,Bayern Munich,25,1999,2.8,211,190,21,5,1,1,2,16,0,0,0,0,183,0,3
Marko Ivezić,SRB,DF,Holstein Kiel,22,2001,18.4,934,906,27,22,1,2,1,3,0,0,0,0,803,1,10
Lee Jae-sung,KOR,MF,Mainz 05,31,1992,29.4,1049,1025,15,10,4,4,31,5,0,0,0,0,813,9,38
Kristijan Jakić,CRO,MF,Augsburg,27,1997,25.6,1085,1062,22,15,4,11,13,7,0,0,0,0,900,1,29
Luca Jaquez,SUI,DF,Stuttgart,21,2003,2.8,212,206,6,5,0,2,1,1,0,0,0,0,194,0,1
Dominik Javorček,SVK,"DF,MF",Holstein Kiel,21,2002,4.3,163,121,40,4,1,0,20,27,9,5,4,0,115,2,7
Finn Jeltsch,GER,DF,Stuttgart,18,2006,8.7,639,603,36,9,3,0,3,24,0,0,0,0,582,0,4
Fredrik Jensen,FIN,MF,Augsburg,26,1997,8.5,226,221,4,0,0,1,20,2,2,1,1,0,157,1,17
Moritz Jenz,GER,DF,Mainz 05,25,1999,17.8,845,825,19,12,0,1,0,1,0,0,0,0,712,1,1
Carl Johansson,SWE,DF,Holstein Kiel,30,1994,6.3,305,290,14,6,0,0,0,1,0,0,0,0,268,1,0
Anthony Jung,GER,DF,Werder Bremen,32,1991,21.1,1512,1388,121,49,0,0,4,11,0,0,0,0,1354,3,11
Josip Juranović,CRO,"DF,MF",Union Berlin,28,1995,12.9,588,416,168,21,0,3,78,120,27,14,10,2,379,4,15
David Jurásek,CZE,DF,Hoffenheim,23,2000,6.9,439,362,74,1,1,2,55,73,0,0,0,0,307,3,17
Yusuf Kabadayı,GER,"FW,MF",Augsburg,20,2004,0.8,25,24,1,0,0,0,1,1,0,0,0,0,16,0,1
Almugera Kabar,GER,DF,Dortmund,18,2006,1.5,98,84,14,0,0,0,1,14,0,0,0,0,89,0,0
Issa Kaboré,BFA,"DF,FW",Werder Bremen,23,2001,3.4,180,137,43,2,0,1,19,41,0,0,0,0,142,0,5
Pavel Kadeřábek,CZE,DF,Hoffenheim,32,1992,17.5,869,692,171,10,1,1,74,161,0,0,0,0,609,6,16
Jakub Kamiński,POL,"DF,MF",Wolfsburg,22,2002,12.6,466,379,86,7,0,2,50,59,20,12,7,0,328,1,17
