Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Marius Courcoul,FRA,"MF,DF",Angers,17.0,2007.0,3.4,0,0,0,4,2,0,4,5,2,0,1,0,12,4,1,80.0
Nicolas Cozza,FRA,"DF,MF",Nantes,25.0,1999.0,22.8,3,1,0,14,12,2,27,25,41,1,0,0,62,15,16,48.4
Charlie Cresswell,ENG,DF,Toulouse,21.0,2002.0,28.8,5,0,0,28,15,3,4,28,23,0,0,1,103,98,44,69.0
Kévin Danois,FRA,MF,Auxerre,20.0,2004.0,16.2,1,0,0,22,18,2,14,20,30,0,0,0,102,14,18,43.8
Kevin Danso,AUT,DF,Lens,25.0,1998.0,12.0,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1
Dante,BRA,DF,Nice,40.0,1983.0,21.8,5,1,0,19,14,0,2,34,15,0,0,0,112,41,21,66.1
Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,,,0.9,0,0,0,0,0,0,1,3,0,0,0,0,9,4,0,100.0
Mohamed Daramy,DEN,FW,Reims,22.0,2002.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Jonathan David,CAN,FW,Lille,24.0,2000.0,28.4,4,0,0,25,36,10,4,7,8,1,0,0,66,16,42,27.6
Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,23.0,2001.0,30.9,3,0,0,20,40,5,85,14,14,2,0,0,117,14,47,23.0
Théo De Percin,MTQ,GK,Auxerre,23.0,2001.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Thibault De Smet,BEL,DF,Reims,26.0,1998.0,2.1,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50.0
Amar Dedić,BIH,DF,Marseille,21.0,2002.0,3.5,1,0,0,7,2,0,5,3,4,0,0,0,18,7,6,53.8
Romain Del Castillo,FRA,FW,Brest,28.0,1996.0,14.0,0,0,0,11,17,0,103,6,22,0,0,0,73,8,12,40.0
Thomas Delaine,FRA,DF,Strasbourg,32.0,1992.0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
Andy Delort,ALG,FW,Montpellier,32.0,1991.0,6.7,1,0,0,11,12,10,11,0,3,0,0,0,9,27,33,45.0
Ousmane Dembélé,FRA,FW,Paris S-G,27.0,1997.0,19.2,1,0,0,8,14,9,80,9,5,1,0,0,39,4,6,40.0
Rémy Descamps,FRA,GK,Lyon,28.0,1996.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
