Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Julián Malatini,ARG,DF,Werder Bremen,24-206,2001,1.1,31,43,72.1,499,136,15,16,93.8,15,23,65.2,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Lennard Maloney,USA,"DF,MF",Mainz 05,26-076,1999,4.4,100,133,75.2,1990,409,29,39,74.4,61,73,83.6,9,15,60.0,0,0.1,0.2,-0.1,1,2,2,1,6
Filippo Mane,ITA,DF,Dortmund,20-290,2005,0.9,61,67,91.0,1063,376,26,27,96.3,32,33,97.0,3,4,75.0,0,0.0,0.0,0.0,0,5,0,0,4
Johan Manzambi,SUI,"MF,FW",Freiburg,20-070,2005,11.2,430,506,85.0,7346,1633,204,224,91.1,174,196,88.8,42,57,73.7,2,2.0,2.6,0.0,10,37,11,2,54
Eric Martel,GER,"MF,DF",Köln,23-238,2002,14.4,674,770,87.5,11627,2999,274,298,91.9,366,398,92.0,27,45,60.0,2,1.1,0.7,0.9,8,36,6,0,50
Han-Noah Massengo,FRA,MF,Augsburg,24-169,2001,13.6,512,601,85.2,7768,2631,280,312,89.7,199,222,89.6,19,40,47.5,1,0.9,1.0,0.1,9,55,3,1,64
Igor Matanovic,CRO,FW,Freiburg,22-267,2003,2.9,36,59,61.0,460,61,22,32,68.8,9,16,56.3,2,4,50.0,0,0.4,0.1,-0.4,2,2,0,0,2
Chrislain Matsima,FRA,DF,Augsburg,23-222,2002,14.0,592,700,84.6,11094,3483,188,213,88.3,350,374,93.6,48,93,51.6,1,0.5,0.4,0.5,4,35,2,1,44
Jean Mattéo Bahoya,FRA,"FW,MF",Eint Frankfurt,20-230,2005,6.9,169,225,75.1,2614,573,97,115,84.3,53,72,73.6,12,19,63.2,1,1.7,1.7,-0.7,12,5,7,4,16
Ibrahim Maza,ALG,MF,Leverkusen,20-029,2005,7.6,365,423,86.3,5616,1353,192,209,91.9,146,169,86.4,17,29,58.6,1,0.6,0.9,0.4,7,36,6,2,49
Samuel Mbangula,BEL,FW,Werder Bremen,21-341,2004,7.5,231,274,84.3,3260,707,134,147,91.2,73,80,91.3,9,17,52.9,1,0.6,0.6,0.4,7,10,4,1,24
Jonas Meffert,GER,MF,Hamburger SV,31-110,1994,1.6,63,82,76.8,989,192,36,41,87.8,15,20,75.0,7,9,77.8,0,0.1,0.5,-0.1,2,1,0,0,3
Connor Metcalfe,AUS,"MF,FW",St. Pauli,26-048,1999,3.0,98,134,73.1,1453,467,57,66,86.4,33,45,73.3,5,12,41.7,1,0.3,0.8,0.7,3,6,6,0,15
Karol Mets,EST,DF,St. Pauli,32-221,1993,8.0,401,465,86.2,7032,2577,175,182,96.2,186,204,91.2,34,66,51.5,0,0.0,0.2,0.0,1,32,2,1,29
Wisdom Mike,GER,FW,Bayern Munich,17-090,2008,0.2,7,10,70.0,68,23,5,7,71.4,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
William Mikelbrencis,FRA,"MF,DF",Hamburger SV,21-301,2004,5.5,153,235,65.1,2701,807,65,80,81.3,70,98,71.4,12,41,29.3,0,0.3,0.2,-0.3,5,14,3,2,17
Kim Min-jae,KOR,DF,Bayern Munich,29-038,1996,5.8,513,542,94.6,7870,2828,270,280,96.4,211,220,95.9,20,25,80.0,1,0.3,1.0,0.7,1,53,3,0,28
Maximilian Mittelstädt,GER,DF,Stuttgart,28-280,1997,10.4,564,686,82.2,9023,2969,300,324,92.6,227,281,80.8,31,56,55.4,3,1.9,2.4,1.1,16,55,16,12,64
Max Moerstedt,GER,"FW,DF",Hoffenheim,19-342,2006,2.0,43,63,68.3,600,114,24,33,72.7,18,24,75.0,0,1,0.0,0,0.0,0.2,0.0,0,3,2,0,4
Wael Mohya,GER,MF,Gladbach,16-357,2008,0.5,21,28,75.0,272,66,16,16,100.0,5,7,71.4,0,1,0.0,0,0.0,0.0,0.0,0,4,0,0,2
Fabio Moreno Fell,GER,FW,Mainz 05,25-202,2000,0.8,12,22,54.5,128,19,7,12,58.3,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Miro Muheim,SUI,"MF,DF",Hamburger SV,27-274,1998,14.3,593,810,73.2,11198,4152,266,294,90.5,239,298,80.2,81,171,47.4,3,2.8,2.7,0.2,26,65,17,11,86
Phillipp Mwene,AUT,DF,Mainz 05,31-328,1994,11.5,302,432,69.9,5425,2070,148,173,85.5,117,167,70.1,36,62,58.1,0,0.7,1.3,-0.7,10,21,14,7,36
Joakim Mæhle,DEN,"DF,FW",Wolfsburg,28-217,1997,4.7,184,224,82.1,3060,972,88,96,91.7,78,91,85.7,13,20,65.0,1,1.0,1.1,0.0,6,13,2,1,15
Stanley N'Soki,FRA,DF,Union Berlin,26-258,1999,0.9,32,42,76.2,674,276,10,11,90.9,17,19,89.5,5,9,55.6,0,0.0,0.0,0.0,0,3,0,0,3
Nikolas Nartey,DEN,"MF,FW",Stuttgart,25-304,2000,5.5,192,235,81.7,2846,723,107,119,89.9,63,74,85.1,11,16,68.8,0,1.2,1.2,-1.2,9,15,7,1,19
Paul Nebel,GER,MF,Mainz 05,23-074,2002,9.9,319,440,72.5,4831,1043,176,213,82.6,121,157,77.1,14,42,33.3,0,0.8,1.4,-0.8,13,13,15,7,29
Kosta Nedeljković,SRB,DF,RB Leipzig,20-007,2005,2.8,123,143,86.0,2109,664,52,54,96.3,58,68,85.3,9,12,75.0,0,0.0,0.1,0.0,0,10,2,1,13
Luca Netz,GER,DF,Gladbach,22-222,2003,7.4,266,341,78.0,4102,1312,140,158,88.6,109,127,85.8,13,43,30.2,1,0.9,0.9,0.1,7,10,7,3,17
Manuel Neuer,GER,GK,Bayern Munich,39-271,1986,12.0,401,487,82.3,10324,6979,78,78,100.0,188,192,97.9,130,209,62.2,0,0.0,0.0,0.0,0,10,0,0,3
Florian Neuhaus,GER,"MF,FW",Gladbach,28-282,1997,6.9,259,339,76.4,4316,1625,130,160,81.3,100,121,82.6,21,38,55.3,1,0.6,1.2,0.4,7,29,10,0,43
Jessic Ngankam,GER,FW,Eint Frankfurt,25-156,2000,0.7,15,17,88.2,256,16,8,9,88.9,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,2
Moritz Nicolas,GER,GK,Gladbach,28-063,1997,15.0,386,499,77.4,10749,8134,82,82,100.0,178,179,99.4,126,236,53.4,0,0.2,0.0,-0.2,2,10,1,0,0
Julian Niehues,GER,MF,Heidenheim,24-250,2001,6.7,221,279,79.2,4217,1319,76,93,81.7,124,145,85.5,21,32,65.6,0,0.3,0.6,-0.3,2,22,3,1,26
Justin Njinmah,GER,FW,Werder Bremen,25-038,2000,7.4,115,168,68.5,1669,288,67,83,80.7,35,52,67.3,6,17,35.3,0,0.4,0.3,-0.4,4,5,4,3,6
Felix Nmecha,GER,MF,Dortmund,25-074,2000,11.9,445,522,85.2,7480,1635,215,244,88.1,187,207,90.3,33,49,67.3,2,1.3,2.6,0.7,11,44,14,1,59
Arnaud Nordin,FRA,"DF,MF",Mainz 05,27-189,1998,5.2,154,199,77.4,2215,506,87,98,88.8,55,73,75.3,6,12,50.0,0,0.3,0.5,-0.3,3,5,6,3,12
Alexander Nübel,GER,GK,Stuttgart,29-084,1996,15.0,461,589,78.3,12623,8943,72,72,100.0,251,254,98.8,136,258,52.7,1,0.6,0.0,0.4,3,17,0,0,0
Antonio Nusa,NOR,FW,RB Leipzig,20-250,2005,9.3,200,252,79.4,2802,680,132,147,89.8,48,65,73.8,11,23,47.8,1,1.5,1.8,-0.5,12,18,13,0,28
Michael Olise,FRA,FW,Bayern Munich,24-011,2001,13.0,738,908,81.3,10068,2761,458,505,90.7,201,257,78.2,32,63,50.8,8,7.6,7.7,0.4,38,51,47,6,87
Warmed Omari,COM,DF,Hamburger SV,25-244,2000,4.8,204,236,86.4,3947,1084,62,69,89.9,116,121,95.9,23,38,60.5,0,0.1,0.1,-0.1,3,6,2,0,13
Loïs Openda,BEL,FW,RB Leipzig,25-310,2000,0.6,13,16,81.3,204,12,5,6,83.3,4,4,100.0,2,3,66.7,0,0.0,0.3,0.0,1,0,2,0,2
Louis Oppie,GER,DF,St. Pauli,23-220,2002,14.1,524,669,78.3,7983,2788,293,329,89.1,195,237,82.3,26,66,39.4,0,0.8,1.0,-0.8,6,45,10,4,44
Willi Orban,HUN,DF,RB Leipzig,33-050,1992,14.8,812,897,90.5,15334,4407,247,259,95.4,496,520,95.4,62,102,60.8,0,0.3,0.2,-0.3,4,46,1,0,40
