Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Kenzo Goudmijn,NED,"MF,FW",Excelsior,21.0,2001.0,17.4,33,18,16,11,6,17,31,54.8,14,21,4,17,12,45,16,0
Iman Griffith,NED,"FW,MF",Fortuna Sittard,21.0,2001.0,2.7,5,4,1,2,2,1,7,14.3,6,3,1,2,2,7,1,0
Axel Guessand,FRA,DF,Volendam,18.0,2004.0,0.5,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0
Rodrigo Guth,BRA,DF,Fortuna Sittard,22.0,2000.0,31.3,36,19,22,12,2,24,36,66.7,12,37,24,13,31,67,105,2
Jonathan de Guzmán,NED,MF,Sparta R'dam,35.0,1987.0,21.4,19,9,9,10,0,10,30,33.3,20,32,13,19,23,42,42,0
Milan de Haan,NED,MF,Volendam,19.0,2003.0,24.1,48,31,22,17,9,23,61,37.7,38,31,8,23,11,59,43,1
Jesse van de Haar,NED,FW,Utrecht,18.0,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Anis Hadj Moussa,ALG,FW,Vitesse,21.0,2002.0,9.4,6,3,2,3,1,2,17,11.8,15,9,0,9,2,8,5,0
Alen Halilović,CRO,"MF,FW",Fortuna Sittard,27.0,1996.0,23.3,24,13,9,12,3,18,37,48.6,19,20,2,18,9,33,4,0
Denzel Hall,NED,DF,Heerenveen,22.0,2001.0,4.6,13,8,11,1,1,3,4,75.0,1,0,0,0,5,18,15,1
Saïd Hamulic,BIH,FW,Vitesse,22.0,2000.0,7.9,5,4,1,1,3,2,5,40.0,3,2,0,2,2,7,3,0
Dávid Hancko,SVK,DF,Feyenoord,25.0,1997.0,33.7,38,27,22,13,3,23,40,57.5,17,29,24,5,29,67,94,0
Tim Handwerker,GER,"FW,DF",Utrecht,25.0,1998.0,0.2,3,3,2,1,0,3,3,100.0,0,1,0,1,0,3,0,0
Kornelius Hansen,NOR,FW,Almere City,22.0,2001.0,15.4,11,3,2,5,4,4,20,20.0,16,14,1,13,1,12,7,0
Sontje Hansen,CUW,FW,NEC Nijmegen,21.0,2002.0,21.2,31,16,10,12,9,11,26,42.3,15,21,0,21,6,37,15,0
Emil Hansson,SWE,"FW,MF",Heracles Almelo,25.0,1998.0,20.9,13,6,6,2,5,7,26,26.9,19,5,0,5,1,14,16,0
Lennard Hartjes,NED,MF,Excelsior,20.0,2003.0,1.0,3,2,1,2,0,1,3,33.3,2,3,0,3,1,4,0,0
Quilindschy Hartman,NED,DF,Feyenoord,21.0,2001.0,23.0,45,25,20,17,8,19,42,45.2,23,21,1,20,28,73,22,0
