Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Marco van Ginkel,NED,"MF,FW",Vitesse,30.0,1992.0,21.8,675,661,10,1,4,5,5,8,0,0,0,0,460,4,11
Paul Gladon,NED,FW,Fortuna Sittard,31.0,1992.0,1.9,36,35,1,0,0,0,0,0,0,0,0,0,18,0,0
Mika Godts,BEL,"FW,MF",Ajax,18.0,2005.0,6.4,252,247,3,1,3,4,17,1,1,1,0,0,185,2,10
Wouter Goes,NED,DF,AZ Alkmaar,19.0,2004.0,12.6,867,847,18,9,1,8,3,9,0,0,0,0,756,2,4
Roberto González,ESP,"FW,MF",NEC Nijmegen,22.0,2001.0,15.4,406,395,11,4,3,0,36,1,3,0,3,0,284,0,20
Tristan Gooijer,NED,"DF,MF",Ajax,18.0,2004.0,6.3,375,330,43,2,0,0,10,41,0,0,0,0,324,2,2
Jay Gorter,NED,GK,Ajax,23.0,2000.0,7.4,305,249,55,10,0,1,0,0,0,0,0,0,242,1,0
Kenzo Goudmijn,NED,MF,AZ Alkmaar,21.0,2001.0,2.7,180,173,7,3,0,0,4,2,2,1,1,0,149,0,2
Kenzo Goudmijn,NED,"MF,FW",Excelsior,21.0,2001.0,17.4,833,759,70,16,2,8,40,19,8,6,2,0,671,4,16
Iman Griffith,NED,"FW,MF",Fortuna Sittard,21.0,2001.0,2.7,66,63,3,0,0,0,6,0,2,0,0,0,45,0,6
Axel Guessand,FRA,DF,Volendam,18.0,2004.0,0.5,7,6,1,1,0,0,0,0,0,0,0,0,3,0,0
Rodrigo Guth,BRA,DF,Fortuna Sittard,22.0,2000.0,31.3,1354,1325,27,25,1,11,11,2,0,0,0,0,1047,2,22
Jonathan de Guzmán,NED,MF,Sparta R'dam,35.0,1987.0,21.4,1135,1062,70,49,0,15,56,5,15,7,5,0,842,3,23
Milan de Haan,NED,MF,Volendam,19.0,2003.0,24.1,565,547,15,3,0,8,15,5,1,1,0,0,403,3,18
Jesse van de Haar,NED,FW,Utrecht,18.0,2005.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Anis Hadj Moussa,ALG,FW,Vitesse,21.0,2002.0,9.4,419,346,73,14,1,13,93,12,47,45,2,0,271,0,20
