Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Maxim Dekker,NED,DF,AZ Alkmaar,19.0,2004.0,0.9,1,1.11,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Caner Demircioglu,NED,FW,Volendam,21.0,2002.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thomas van den Belt,NED,MF,Feyenoord,22.0,2001.0,3.0,6,1.96,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Branco van den Boomen,NED,MF,Ajax,28.0,1995.0,11.9,56,4.7,37,14,0,3,1,1,3,0.25,3,0,0,0,0,0
Damian van der Haar,NED,DF,Zwolle,19.0,2004.0,3.2,2,0.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mickey van der Hart,NED,GK,Heerenveen,29.0,1994.0,12.0,3,0.25,2,1,0,0,0,0,1,0.08,0,1,0,0,0,0
Mike van der Hoorn,NED,DF,Utrecht,30.0,1992.0,18.5,17,0.92,13,0,0,3,1,0,1,0.05,0,0,0,1,0,0
Djevencio van der Kust,SUR,DF,Sparta R'dam,22.0,2001.0,27.8,51,1.83,40,5,1,3,0,2,8,0.29,7,0,0,1,0,0
Mark van der Maarel,NED,DF,Utrecht,33.0,1989.0,8.3,15,1.82,7,5,0,3,0,0,2,0.24,0,0,0,2,0,0
Silvester van der Water,NED,"FW,MF",Zwolle,26.0,1996.0,6.4,12,1.88,8,1,1,1,1,0,1,0.16,0,0,0,0,1,0
Anthony Descotte,BEL,FW,Utrecht,19.0,2003.0,2.3,8,3.41,7,0,0,0,0,1,1,0.43,1,0,0,0,0,0
Sergiño Dest,USA,DF,PSV Eindhoven,22.0,2000.0,23.5,85,3.61,55,1,19,5,5,0,10,0.43,8,0,1,0,1,0
Mitchell Dijks,NED,DF,Fortuna Sittard,30.0,1993.0,26.0,58,2.23,43,12,2,0,0,1,5,0.19,4,1,0,0,0,0
Javairô Dilrosun,NED,"FW,MF",Feyenoord,25.0,1998.0,3.5,19,5.43,15,1,1,0,2,0,2,0.57,2,0,0,0,0,0
Toni Domgjoni,KVX,MF,Vitesse,24.0,1998.0,7.5,11,1.47,10,0,1,0,0,0,1,0.13,1,0,0,0,0,0
Bas Dost,NED,FW,NEC Nijmegen,34.0,1989.0,5.1,8,1.56,7,0,0,0,1,0,3,0.58,3,0,0,0,0,0
Achraf Douiri,NED,"DF,FW",Volendam,23.0,1999.0,3.8,9,2.35,4,2,1,1,1,0,1,0.26,0,1,0,0,0,0
Anastasios Douvikas,GRE,FW,Utrecht,23.0,1999.0,2.0,4,2.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Bram van Driel,NED,MF,Volendam,18.0,2005.0,2.6,1,0.38,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Couhaib Driouech,MAR,"FW,MF",Excelsior,21.0,2002.0,21.3,73,3.42,51,0,15,3,3,1,15,0.7,9,0,6,0,0,0
Joel Drommel,NED,GK,PSV Eindhoven,26.0,1996.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ferdy Druijf,NED,"FW,MF",Zwolle,25.0,1998.0,10.5,28,2.66,23,0,0,3,2,0,6,0.57,6,0,0,0,0,0
Deroy Duarte,CPV,MF,Fortuna Sittard,24.0,1999.0,26.9,39,1.45,36,0,0,2,0,1,3,0.11,2,0,0,1,0,0
Lance Duijvestijn,NED,"MF,FW",Almere City,24.0,1999.0,5.0,18,3.6,15,1,2,0,0,0,5,1.0,3,1,1,0,0,0
Lance Duijvestijn,NED,"MF,FW",Excelsior,24.0,1999.0,12.2,41,3.37,34,0,2,2,1,2,6,0.49,5,0,0,0,0,1
Mike van Duinen,NED,"FW,MF",Excelsior,31.0,1991.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver Edvardsen,NOR,"FW,MF",Go Ahead Eag,24.0,1999.0,26.1,79,3.03,41,13,8,8,9,0,7,0.27,0,1,2,1,3,0
Victor Edvardsen,SWE,FW,Go Ahead Eag,27.0,1996.0,20.3,48,2.36,30,1,3,9,4,1,3,0.15,1,0,0,0,1,1
Espen van Ee,NED,"MF,FW",Heerenveen,20.0,2003.0,4.6,10,2.18,5,1,0,2,2,0,0,0.0,0,0,0,0,0,0
Mike Eerdhuijzen,NED,DF,Sparta R'dam,23.0,2000.0,14.7,20,1.37,17,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Mats Egbring,NED,DF,Vitesse,16.0,2006.0,0.7,2,2.95,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Carel Eiting,NED,MF,Twente,25.0,1998.0,8.8,34,3.86,23,8,2,1,0,0,4,0.45,3,1,0,0,0,0
Hamza el Dahri,NED,"MF,FW",Sparta R'dam,18.0,2005.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mario Engels,GER,"FW,MF",Heracles Almelo,29.0,1993.0,17.8,47,2.65,25,13,4,4,1,0,5,0.28,3,1,1,0,0,0
Marcelencio Esajas,NED,"MF,FW",Almere City,21.0,2002.0,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0
Luca Everink,NED,DF,Go Ahead Eag,22.0,2001.0,3.1,7,2.23,3,0,2,0,2,0,0,0.0,0,0,0,0,0,0
Kevin Felida,CUW,MF,RKC Waalwijk,23.0,1999.0,8.8,13,1.47,13,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Arianit Ferati,KVX,"MF,DF",Fortuna Sittard,25.0,1997.0,8.2,28,3.41,19,3,1,2,2,1,1,0.12,1,0,0,0,0,0
Derensili Fernandes,NED,"FW,MF",Excelsior,22.0,2001.0,14.3,52,3.63,38,1,6,4,3,0,1,0.07,1,0,0,0,0,0
Rashaan Fernandes,NED,"FW,MF",Go Ahead Eag,24.0,1998.0,0.4,3,7.94,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Nick Fichtinger,NED,MF,Zwolle,19.0,2004.0,3.9,5,1.28,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Ezechiel Fiemawhle,NED,"MF,FW",Volendam,18.0,2004.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kian Fitz-Jim,NED,"MF,FW",Ajax,20.0,2003.0,0.5,4,8.57,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Kian Fitz-Jim,NED,MF,Excelsior,20.0,2003.0,4.4,12,2.71,8,2,1,0,0,1,1,0.23,1,0,0,0,0,0
Ryan Flamingo,NED,"MF,DF",Utrecht,20.0,2002.0,30.7,50,1.63,43,0,3,3,1,0,5,0.16,5,0,0,0,0,0
Josh Flint,ENG,DF,Volendam,22.0,2000.0,24.8,40,1.62,28,6,0,4,2,0,4,0.16,1,1,0,1,1,0
Sherel Floranus,CUW,DF,Almere City,24.0,1998.0,28.0,31,1.11,27,4,0,0,0,0,1,0.04,1,0,0,0,0,0
Fodé Fofana,NED,FW,Vitesse,20.0,2002.0,1.1,5,4.64,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Sadik Fofana,TOG,DF,Fortuna Sittard,20.0,2003.0,7.0,6,0.85,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Anthony Fontana,USA,"MF,FW",Zwolle,23.0,1999.0,0.5,2,3.83,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Carlos Forbs,POR,FW,Ajax,19.0,2004.0,9.2,35,3.8,25,1,4,2,2,1,5,0.54,2,0,1,0,1,1
Oscar Fraulo,DEN,MF,Utrecht,19.0,2003.0,23.3,45,1.94,33,1,3,3,3,2,6,0.26,6,0,0,0,0,0
Anton Gaaei,DEN,DF,Ajax,20.0,2002.0,12.9,46,3.56,42,1,1,0,1,1,5,0.39,5,0,0,0,0,0
Juriën Gaari,CUW,DF,RKC Waalwijk,29.0,1993.0,18.3,14,0.76,13,0,1,0,0,0,3,0.16,3,0,0,0,0,0
Anselmo García MacNulty,IRL,DF,Zwolle,20.0,2003.0,27.9,48,1.73,46,0,1,1,0,0,5,0.18,5,0,0,0,0,0
