Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Sheraldo Becker,SUR,"FW,MF",Union Berlin,28,1995,7.2,0,0,0,6,5,4,57,0,3,1,0,0,48,0,8,0.0
Chris Bedia,CIV,"FW,MF",Union Berlin,27,1996,1.6,0,0,0,7,2,0,0,0,1,0,0,0,2,3,7,30.0
Donny van de Beek,NED,"MF,FW",Eint Frankfurt,26,1997,4.0,1,0,0,7,1,5,7,3,3,0,0,0,15,4,5,44.4
Kevin Behrens,GER,FW,Wolfsburg,32,1991,6.8,1,0,0,8,5,4,4,3,1,0,0,0,15,32,26,55.2
Kevin Behrens,GER,FW,Union Berlin,32,1991,14.0,3,0,0,22,20,8,6,6,10,0,0,0,36,92,81,53.2
Maximilian Beier,GER,"FW,MF",Hoffenheim,20,2002,26.9,0,0,0,21,32,13,38,9,12,2,0,0,62,20,40,33.3
Stefan Bell,GER,DF,Mainz 05,31,1991,7.4,3,0,0,10,8,1,1,6,8,0,0,0,38,24,23,51.1
Ramy Bensebaini,ALG,DF,Dortmund,28,1995,11.5,4,1,1,15,29,0,21,16,21,0,0,1,84,18,13,58.1
Mergim Berisha,GER,FW,Hoffenheim,25,1998,1.6,0,0,0,5,2,1,2,0,0,0,0,0,8,2,9,18.2
Mergim Berisha,GER,FW,Augsburg,25,1998,1.4,0,0,0,0,3,1,1,0,0,0,0,0,1,2,1,66.7
Bernardo,BRA,DF,Bochum,28,1995,32.5,9,0,0,54,28,2,30,55,58,0,2,0,197,145,81,64.2
Matúš Bero,SVK,"MF,FW",Bochum,27,1995,18.5,6,0,0,38,20,5,16,12,22,1,0,0,97,12,37,24.5
