Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
87,Kasper Dolberg,dk DEN,FW,Ajax,28-078,1997,3.6,56,51,4,0,1,0,0,0,0,0,0,0,34,1,5,Matches
88,Yoon Doyong,kr KOR,FW,Excelsior,19-056,2006,1.1,22,21,1,0,0,0,2,0,1,1,0,0,16,0,0,Matches
89,Couhaib Driouech,ma MAR,"FW,MF",PSV Eindhoven,23-250,2002,3.9,146,140,4,0,0,0,15,2,2,0,0,0,105,2,6,Matches
90,Joel Drommel,nl NED,GK,Sparta R'dam,29-037,1996,17.0,798,630,165,48,0,3,0,0,0,0,0,0,561,3,0,Matches
91,Lance Duijvestijn,nl NED,MF,Sparta R'dam,26-342,1999,7.7,302,277,24,8,1,2,17,0,7,6,0,0,224,1,4,Matches
92,Mike van Duinen,nl NED,FW,Excelsior,34-047,1991,4.5,81,74,6,0,0,0,0,0,0,0,0,0,46,1,1,Matches
93,Kiano Dyer,eng ENG,"MF,FW",Volendam,19-032,2006,0.3,12,11,1,0,0,0,0,1,0,0,0,0,10,0,0,Matches
94,Oliver Edvardsen,no NOR,FW,Ajax,26-279,1999,5.6,200,186,12,1,0,0,11,11,0,0,0,0,157,2,10,Matches
95,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,29-343,1996,7.8,220,207,12,0,1,0,19,5,1,1,0,0,136,1,11,Matches
96,Lushendry Edward Martes,nl NED,DF,Sparta R'dam,17-231,2008,0.5,16,13,3,1,0,0,0,2,0,0,0,0,15,0,0,Matches
97,Espen van Ee,nl NED,MF,Heerenveen,22-171,2003,0.6,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
98,Mike Eerdhuijzen,nl NED,DF,Utrecht,25-163,2000,1.6,76,73,3,1,0,0,0,2,0,0,0,0,66,0,0,Matches
99,Mats Egbring,nl NED,"DF,MF",Heerenveen,19-097,2006,0.4,17,15,2,1,0,0,1,1,0,0,0,0,13,0,0,Matches
100,Nils Eggens,nl NED,"MF,FW",Groningen,20-259,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
101,Remi van Ekeris,nl NED,MF,Telstar,23-091,2002,0.1,9,7,2,0,0,0,1,1,1,1,0,0,6,0,1,Matches
102,Noam Emeran,fr FRA,"DF,MF",Groningen,23-090,2002,0.3,17,16,1,0,0,0,2,1,0,0,0,0,10,0,2,Matches
103,Mario Engels,de GER,"MF,FW",Heracles Almelo,32-062,1993,4.7,95,86,8,0,0,0,11,7,1,0,0,0,67,1,4,Matches
104,Alonzo Engwanda,be BEL,MF,Utrecht,22-330,2003,16.0,618,609,9,9,1,3,6,0,0,0,0,0,535,0,10,Matches
105,Silvinho Esajas,sr SUR,MF,Volendam,23-168,2002,0.8,27,26,1,0,0,0,0,0,0,0,0,0,26,0,0,Matches
106,Jan Faberski,pl POL,FW,Zwolle,19-245,2006,4.4,99,93,6,0,0,0,12,1,4,2,1,0,69,0,6,Matches
107,Derensili Fernandes,nl NED,FW,Excelsior,24-209,2001,12.7,423,405,17,6,4,3,28,5,6,3,0,0,331,1,9,Matches
108,Noah Fernandez,be BEL,"MF,FW",PSV Eindhoven,17-348,2008,0.2,11,11,0,0,0,1,0,0,0,0,0,0,7,0,0,Matches
109,Nick Fichtinger,nl NED,MF,Zwolle,21-261,2004,3.3,102,96,6,2,0,0,0,3,0,0,0,0,69,0,3,Matches
110,Kian Fitz-Jim,nl NED,MF,Ajax,22-171,2003,3.3,226,220,6,6,1,0,0,0,0,0,0,0,209,0,3,Matches
111,Ryan Flamingo,nl NED,DF,PSV Eindhoven,22-357,2002,8.4,555,532,23,14,3,4,1,6,0,0,0,0,502,0,2,Matches
112,Sherel Floranus,cw CUW,DF,Zwolle,27-122,1998,16.4,726,567,158,35,2,1,18,123,0,0,0,0,582,1,11,Matches
113,Deveron Fonville,cw CUW,DF,NEC Nijmegen,22-221,2003,4.1,238,195,42,4,2,0,9,38,0,0,0,0,184,1,4,Matches
114,Ryan Fosso,ch SUI,MF,Fortuna Sittard,23-189,2002,16.8,697,675,20,16,0,4,1,4,0,0,0,0,613,2,4,Matches
115,Anton Gaaei,dk DEN,DF,Ajax,23-034,2002,7.8,444,376,67,14,2,3,49,50,3,0,1,0,339,1,9,Matches
116,Jadiel Pereira da Gama,nl NED,MF,Zwolle,16-008,2009,1.1,33,33,0,0,0,0,0,0,0,0,0,0,23,0,1,Matches
117,Anselmo García MacNulty,ie IRL,DF,Zwolle,22-307,2003,15.8,780,748,32,23,2,9,4,2,0,0,0,0,666,0,3,Matches
118,Yarek Gasiorowski,es ESP,DF,PSV Eindhoven,20-345,2005,14.0,930,879,49,15,1,1,0,5,0,0,0,0,856,2,3,Matches
119,Stijn van Gassel,nl NED,GK,Excelsior,29-066,1996,13.3,685,521,162,36,0,0,0,0,0,0,0,0,415,2,0,Matches
120,Moussa Gbemou,be BEL,MF,Fortuna Sittard,18-105,2007,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,Matches
121,Brahim Ghalidi,be BEL,"FW,MF",NAC Breda,20-326,2005,0.8,48,47,1,0,0,1,6,0,1,0,1,0,39,0,1,Matches
122,Tristan van Gilst,nl NED,"FW,MF",Heracles Almelo,22-308,2003,7.5,102,101,1,0,1,0,3,1,0,0,0,0,66,0,8,Matches
123,Paul Gladon,nl NED,"FW,MF",Fortuna Sittard,33-280,1992,6.1,114,111,3,0,0,0,4,0,0,0,0,0,55,0,2,Matches
124,Oscar Gloukh,il ISR,"MF,FW",Ajax,21-266,2004,12.1,599,552,44,13,8,3,36,6,22,13,6,0,482,3,18,Matches
125,Mika Godts,be BEL,"FW,MF",Ajax,20-199,2005,13.1,467,445,22,0,6,9,35,2,16,8,2,0,348,0,16,Matches
126,Wouter Goes,nl NED,DF,AZ Alkmaar,21-196,2004,14.4,867,824,40,29,1,4,3,10,0,0,0,0,772,3,3,Matches
127,Roberto González,es ESP,MF,NEC Nijmegen,24-351,2001,0.9,25,23,1,0,1,0,1,1,0,0,0,0,18,1,1,Matches
128,Tristan Gooijer,nl NED,DF,Zwolle,21-112,2004,5.2,199,172,27,6,1,0,1,21,0,0,0,0,177,0,2,Matches
129,Kenzo Goudmijn,nl NED,"MF,FW",Go Ahead Eag,24-005,2001,6.8,310,282,25,8,4,0,33,3,5,5,0,0,217,3,10,Matches
130,Tom de Graaff,nl NED,GK,Zwolle,21-013,2004,15.0,576,410,163,34,0,1,0,0,0,0,0,0,353,3,0,Matches
131,Simon Graves Jensen,dk DEN,DF,Zwolle,26-215,1999,16.4,891,826,63,27,1,5,0,2,0,0,0,0,744,2,6,Matches
132,Leo Greiml,at AUT,DF,NAC Breda,24-173,2001,6.5,374,361,12,12,0,1,0,0,0,0,0,0,318,1,1,Matches
133,Nesto Groen,nl NED,FW,Excelsior,21-154,2004,0.2,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
134,Eser Gürbüz,nl NED,FW,Heerenveen,18-292,2007,2.8,80,64,16,2,0,0,20,3,11,4,3,0,44,0,4,Matches
135,Jonathan de Guzmán,nl NED,"MF,FW",Sparta R'dam,38-101,1987,0.9,56,50,6,3,0,0,4,0,3,1,2,0,40,0,2,Matches
136,Milan de Haan,nl NED,"MF,FW",Volendam,22-033,2003,0.3,13,12,1,1,0,0,0,0,0,0,0,0,10,0,0,Matches
137,Anis Hadj Moussa,dz ALG,FW,Feyenoord,23-315,2002,13.9,508,433,74,15,3,4,105,6,53,42,6,0,323,1,17,Matches
138,Sebastiaan Hagedoorn,nl NED,"MF,FW",Telstar,21-023,2004,0.9,29,28,1,0,0,0,0,0,0,0,0,0,18,0,4,Matches
139,Sébastien Haller,ci CIV,FW,Utrecht,31-184,1994,7.5,207,199,6,0,1,0,0,1,0,0,0,0,139,2,3,Matches
140,Mo Hamdaoui,nl NED,"MF,DF",Telstar,32-196,1993,0.7,27,20,7,0,0,0,6,1,6,5,0,0,20,0,1,Matches
141,Noa El Hamdaoui,,MF,Excelsior,,,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
142,Jeff Hardeveld,nl NED,DF,Telstar,30-299,1995,16.1,820,600,215,28,2,9,94,128,41,21,11,0,557,5,20,Matches
143,Lennard Hartjes,nl NED,MF,Excelsior,22-260,2003,2.5,125,118,6,2,0,0,0,0,0,0,0,0,115,1,0,Matches
144,Stan Henderikx,nl NED,DF,Excelsior,22-168,2003,4.6,235,214,19,8,0,1,2,8,0,0,0,0,198,2,2,Matches
145,Lucas Vennegoor of Hesselink,nl NED,FW,Twente,19-284,2006,0.6,15,15,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
146,Soufiane Hetli,nl NED,"FW,MF",Telstar,24-207,2001,11.3,229,220,7,0,0,2,9,1,0,0,0,0,175,2,13,Matches
147,Rio Hillen,nl NED,DF,NAC Breda,22-293,2003,14.3,784,746,37,17,0,0,3,4,0,0,0,0,681,1,9,Matches
148,Mark Hoekstra,nl NED,"MF,FW",Groningen,19-316,2006,0.4,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
149,Tijmen Holla,,GK,Excelsior,,,0.7,43,36,7,3,0,0,0,0,0,0,0,0,28,0,0,Matches
150,Lewis Holtby,de GER,"MF,FW",NAC Breda,35-096,1990,11.9,520,440,77,36,0,3,37,5,25,11,9,0,393,3,5,Matches
151,Sydney van Hooijdonk,nl NED,FW,NAC Breda,25-320,2000,11.6,238,218,19,2,0,2,7,0,1,0,0,0,156,1,11,Matches
152,Nikolai Hopland,no NOR,DF,Heerenveen,21-152,2004,4.5,269,261,8,7,0,1,0,0,0,0,0,0,244,0,0,Matches
153,Siebe Horemans,be BEL,DF,Utrecht,27-204,1998,15.6,818,655,163,20,1,6,49,143,0,0,0,0,643,0,14,Matches
154,Jizz Hornkamp,nl NED,FW,Heracles Almelo,27-291,1998,12.3,228,210,16,1,1,2,3,0,0,0,0,0,144,2,4,Matches
155,Ajdin Hrustic,au AUS,MF,Heracles Almelo,29-171,1996,14.1,703,552,149,59,4,9,108,3,64,31,27,0,519,2,10,Matches
156,Justin Hubner,id IDN,DF,Fortuna Sittard,22-100,2003,4.5,255,232,23,7,0,0,5,13,0,0,0,0,203,0,2,Matches
157,Joël Ideho,nl NED,"FW,MF",Volendam,22-159,2003,5.8,168,157,9,0,1,1,27,7,2,1,0,0,98,2,6,Matches
158,Younes Taha El Idrissi,ma MAR,"MF,FW",Groningen,23-026,2002,15.3,483,388,90,21,2,4,125,7,61,38,10,0,301,5,22,Matches
159,Mohammed Ihattaren,nl NED,"FW,MF",Fortuna Sittard,23-314,2002,11.8,557,439,115,36,2,11,75,13,41,12,21,0,396,3,19,Matches
160,Hwang In-beom,kr KOR,MF,Feyenoord,29-094,1996,2.8,169,151,17,7,1,0,13,0,9,8,0,0,121,1,3,Matches
161,Zidane Iqbal,iq IRQ,MF,Utrecht,22-240,2003,2.8,184,168,15,6,0,1,0,0,0,0,0,0,165,1,0,Matches
162,Ko Itakura,jp JPN,DF,Ajax,28-330,1997,9.8,612,587,23,12,0,2,4,1,0,0,0,0,558,2,2,Matches
163,Dean James,id IDN,DF,Go Ahead Eag,25-237,2000,12.5,567,420,143,23,0,5,101,83,37,30,3,0,411,4,15,Matches
164,Dies Janse,nl NED,DF,Groningen,19-340,2006,15.0,866,806,60,18,1,5,3,2,0,0,0,0,755,0,7,Matches
165,Timo Jansink,nl NED,GK,Heracles Almelo,22-282,2003,9.0,329,259,70,27,0,0,0,0,0,0,0,0,207,0,0,Matches
166,Simon Janssen,nl NED,DF,Excelsior,25-089,2000,1.4,47,38,9,3,0,0,6,6,0,0,0,0,33,0,1,Matches
167,Vitezslav Jaros,cz CZE,GK,Ajax,24-153,2001,13.0,584,497,85,24,0,0,0,0,0,0,0,0,457,2,0,Matches
168,Malcolm Jeng,se SWE,DF,Feyenoord,20-289,2005,0.5,49,47,2,0,0,0,0,0,0,0,0,0,43,0,0,Matches
169,Isak Jensen,dk DEN,FW,AZ Alkmaar,22-000,2003,9.2,346,333,13,2,1,2,35,5,6,3,1,0,274,0,15,Matches
170,Victor Jensen,dk DEN,"MF,FW",Utrecht,25-318,2000,5.3,130,128,2,1,3,1,1,0,0,0,0,0,107,0,8,Matches
171,Miliano Jonathans,id IDN,"FW,MF",Utrecht,21-262,2004,3.0,103,102,1,0,0,1,7,1,0,0,0,0,70,0,1,Matches
172,Tika de Jonge,nl NED,MF,Groningen,22-287,2003,14.5,579,544,32,13,2,3,22,5,13,12,0,0,444,3,10,Matches
173,Mauro Júnior,br BRA,"MF,DF",PSV Eindhoven,26-231,1999,11.1,791,733,56,9,1,3,15,41,6,0,0,0,698,2,12,Matches
174,Hidde Jurjus,nl NED,GK,Groningen,31-317,1994,3.0,115,100,15,4,0,0,0,0,0,0,0,0,71,0,0,Matches
175,Youssef El Kachati,nl NED,"FW,MF",NEC Nijmegen,26-023,1999,3.1,68,62,5,0,0,0,12,1,0,0,0,0,41,1,3,Matches
176,Jochem van de Kamp,nl NED,"MF,DF",Telstar,22-051,2003,13.1,411,388,20,4,2,3,27,15,0,0,0,0,310,3,13,Matches
177,Ahmetcan Kaplan,tr TUR,DF,NEC Nijmegen,22-341,2003,11.8,661,568,89,23,1,3,6,54,0,0,0,0,561,4,7,Matches
178,Souffian El Karouani,ma MAR,DF,Utrecht,25-065,2000,16.0,913,615,295,63,4,8,185,150,82,28,50,0,626,3,21,Matches
179,Denso Kasius,nl NED,DF,AZ Alkmaar,23-078,2002,10.8,537,451,85,7,0,9,42,76,2,0,2,0,410,1,17,Matches
180,Fabian de Keijzer,nl NED,GK,Heracles Almelo,25-227,2000,8.0,336,257,78,28,0,0,0,0,0,0,0,0,185,1,0,Matches
181,Boy Kemper,nl NED,DF,NAC Breda,26-185,1999,16.8,851,645,202,14,0,0,65,188,0,0,0,0,594,4,20,Matches
