Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4.5,194,235,82.6,3055,966,105,120,87.5,66,74,89.2,14,27,51.9,0,0.1,0.1,-0.1,3,18,1,0,25
Mattia Bani,ITA,DF,Genoa,30,1993,16.7,768,879,87.4,15516,5490,205,225,91.1,469,503,93.2,88,136,64.7,0,0.2,0.2,-0.2,2,18,2,1,25
Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,17,20,85.0,228,77,8,10,80.0,8,9,88.9,0,0,,0,0.3,0.1,-0.3,3,1,1,0,2
Federico Barba,ITA,DF,Como,30,1993,4.8,258,292,88.4,4163,1406,132,143,92.3,106,117,90.6,15,26,57.7,0,0.0,0.0,0.0,0,18,2,0,25
Nicolò Barella,ITA,MF,Inter,27,1997,27.7,1484,1808,82.1,26231,7745,673,758,88.8,635,735,86.4,150,234,64.1,6,4.5,5.1,1.5,55,172,54,12,235
Davide Bartesaghi,ITA,DF,Milan,18,2005,1.3,65,76,85.5,938,308,40,43,93.0,20,25,80.0,3,5,60.0,0,0.1,0.2,-0.1,2,1,3,3,2
Federico Baschirotto,ITA,DF,Lecce,27,1996,38.0,1409,1635,86.2,28512,9707,443,483,91.7,762,824,92.5,196,304,64.5,0,0.2,0.5,-0.2,4,51,5,0,71
Daniele Baselli,ITA,MF,Como,32,1992,0.2,24,27,88.9,437,123,7,8,87.5,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4
Alessandro Bastoni,ITA,DF,Inter,25,1999,26.7,1966,2225,88.4,36493,11275,832,872,95.4,882,951,92.7,226,338,66.9,5,2.3,2.8,2.7,27,128,49,24,162
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,587,701,83.7,8987,2976,321,357,89.9,215,242,88.8,31,66,47.0,2,1.0,0.6,1.0,16,71,10,0,73
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,85,94,90.4,1301,352,49,54,90.7,29,29,100.0,5,7,71.4,0,0.0,0.0,0.0,0,9,0,0,10
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,31,43,72.1,541,130,15,17,88.2,13,18,72.2,3,6,50.0,0,0.1,0.0,-0.1,1,1,0,0,0
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,977,1264,77.3,15685,4507,498,553,90.1,396,503,78.7,65,136,47.8,9,4.7,5.1,4.3,34,45,28,22,87
Andrea Belotti,ITA,FW,Como,30,1993,6.6,90,120,75.0,1072,178,59,71,83.1,17,25,68.0,4,6,66.7,0,0.4,0.1,-0.4,7,5,1,0,9
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,459,591,77.7,6934,1421,245,294,83.3,161,197,81.7,26,44,59.1,4,3.0,1.9,1.0,29,38,17,3,64
