Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Miguel Almirón,PAR,FW,Newcastle Utd,30.0,1994.0,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18
Olabade Aluko,,DF,Leicester City,,,0.0,6,0,0,6,1,0,6,1,0,0.0,1,100.0,2,1,0,0,0,0,0,1,2,0
Edson Álvarez,MEX,MF,West Ham,26.0,1997.0,19.7,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18
Will Alves,ENG,FW,Leicester City,19.0,2005.0,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1
Harry Amass,ENG,DF,Manchester Utd,17.0,2007.0,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50.0,132,705,376,9,6,2,18,5,124,23
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18.0,2006.0,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3
Mathis Amougou,FRA,MF,Chelsea,18.0,2006.0,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0
Joachim Andersen,DEN,DF,Crystal Palace,28.0,1996.0,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1
Joachim Andersen,DEN,DF,Fulham,28.0,1996.0,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0.0,1350,6505,3435,16,14,1,6,3,1621,2
Elliot Anderson,ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,1832,102,424,891,547,72,1832,75,36,48.0,30,40.0,932,5071,2366,52,32,21,60,49,1089,95
André,BRA,MF,Wolves,23.0,2001.0,27.5,1623,89,439,1046,155,3,1623,32,16,50.0,12,37.5,912,3764,1688,10,17,0,30,21,1093,11
Michail Antonio,JAM,FW,West Ham,34.0,1990.0,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59
Antony,BRA,"DF,MF",Manchester Utd,24.0,2000.0,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7
Julian Araujo,MEX,DF,Bournemouth,22.0,2001.0,5.5,275,20,90,136,55,2,275,1,0,0.0,1,100.0,126,482,258,4,3,0,5,2,149,22
Cameron Archer,ENG,FW,Southampton,23.0,2001.0,16.0,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,22,10,14,40,26,274,66
Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,25.1,1049,833,1038,12,0,0,1049,0,0,,0,,601,2480,1348,0,0,0,0,0,555,0
Joe Aribo,NGA,"MF,DF",Southampton,28.0,1996.0,22.4,1271,52,313,670,299,44,1271,49,21,42.9,22,44.9,745,4068,2021,36,29,12,27,19,925,65
Adam Armstrong,ENG,"FW,MF",Southampton,27.0,1997.0,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79
Harrison Armstrong,ENG,MF,Everton,17.0,2007.0,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,29.0,1994.0,31.0,1087,800,1057,29,1,1,1087,1,1,100.0,0,0.0,621,3129,1797,0,0,0,0,0,486,0
Marco Asensio,ESP,MF,Aston Villa,28.0,1996.0,8.3,386,6,38,158,200,30,384,19,12,63.2,5,26.3,242,1466,682,22,21,5,9,8,265,38
Brandon Austin,ENG,GK,Tottenham,25.0,1999.0,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.0,1997.0,4.6,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20
Yasin Ayari,SWE,MF,Brighton,20.0,2003.0,21.8,1233,58,275,624,354,45,1233,45,18,40.0,18,40.0,655,3244,1466,30,25,6,38,22,801,61
Jordan Ayew,GHA,"FW,MF",Crystal Palace,32.0,1991.0,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1
Jordan Ayew,GHA,"FW,MF",Leicester City,32.0,1991.0,18.2,798,21,103,407,312,55,797,64,26,40.6,32,50.0,479,3374,1540,49,37,11,63,40,540,86
Benoît Badiashile,FRA,DF,Chelsea,23.0,2001.0,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2
Leon Bailey,JAM,"FW,MF",Aston Villa,26.0,1997.0,12.7,545,18,77,155,323,70,545,57,22,38.6,24,42.1,348,2582,1371,58,23,34,35,25,390,121
Carlos Baleba,CMR,MF,Brighton,20.0,2004.0,29.6,1697,94,410,994,339,12,1697,57,33,57.9,20,35.1,971,5692,2810,43,45,3,39,42,1035,29
Ross Barkley,ENG,MF,Aston Villa,30.0,1993.0,6.5,464,17,75,275,121,19,464,16,12,75.0,4,25.0,277,1560,733,15,15,2,7,8,328,10
Harvey Barnes,ENG,FW,Newcastle Utd,26.0,1997.0,19.5,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192
Calvin Bassey,NGA,DF,Fulham,24.0,1999.0,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15
Altay Bayındır,TUR,GK,Manchester Utd,26.0,1998.0,4.0,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0
Jan Bednarek,POL,DF,Southampton,28.0,1996.0,28.1,2049,386,1091,924,41,15,2049,3,3,100.0,0,0.0,1046,3845,1742,5,5,1,9,3,1307,2
Armel Bella Kotchap,GER,DF,Southampton,22.0,2001.0,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,26.0,1998.0,18.6,843,24,148,394,318,48,843,61,14,23.0,31,50.8,528,3269,1573,52,38,11,42,29,592,89
Rodrigo Bentancur,URU,MF,Tottenham,27.0,1997.0,18.3,1302,76,323,774,216,24,1302,19,9,47.4,8,42.1,764,3568,1502,28,24,5,19,20,848,34
Daniel Bentley,ENG,GK,Wolves,31.0,1993.0,2.0,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0
Sander Berge,NOR,MF,Fulham,26.0,1998.0,24.7,1384,81,374,799,217,14,1384,20,11,55.0,6,30.0,804,4467,2065,29,25,2,15,16,892,9
Lucas Bergvall,SWE,MF,Tottenham,18.0,2006.0,13.5,885,36,188,478,232,22,885,45,21,46.7,20,44.4,531,3392,1634,33,21,4,20,19,586,31
Victor Bernth Kristiansen,DEN,DF,Leicester City,21.0,2002.0,27.6,1614,115,577,722,329,17,1614,18,8,44.4,9,50.0,816,3948,1866,40,26,5,15,13,887,78
Beto,GNB,FW,Everton,26.0,1998.0,17.0,520,29,51,233,242,86,520,38,19,50.0,17,44.7,267,1242,478,15,12,9,71,37,378,77
Philip Billing,DEN,MF,Bournemouth,28.0,1996.0,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13
