Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Andrés García,ESP,"DF,MF",Aston Villa,21.0,2003.0,3.5,201,176,25,0,0,0,18,25,0,0,0,0,174,0,5
Alejandro Garnacho,ARG,"MF,FW",Manchester Utd,20.0,2004.0,24.4,823,798,24,3,2,9,56,16,2,1,0,0,649,1,54
James Garner,ENG,"MF,DF",Everton,23.0,2001.0,17.7,803,687,110,17,2,2,57,42,23,16,4,2,611,6,23
Tyrique George,ENG,FW,Chelsea,18.0,2006.0,2.0,54,53,1,0,0,0,3,1,0,0,0,0,43,0,2
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24.0,2000.0,31.1,1269,1241,18,7,19,12,45,1,1,0,0,0,993,10,27
Billy Gilmour,SCO,MF,Brighton,23.0,2001.0,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
Ben Godfrey,ENG,DF,Ipswich Town,26.0,1998.0,1.8,57,49,8,1,0,0,0,7,0,0,0,0,47,0,3
Martial Godo,ENG,"FW,DF",Fulham,21.0,2003.0,0.3,17,15,2,0,0,0,1,2,0,0,0,0,12,0,2
Michael Golding,ENG,MF,Leicester City,18.0,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Gomes,BRA,MF,Wolves,23.0,2001.0,33.0,1623,1564,56,27,5,9,29,17,1,1,0,0,1380,3,24
Rodrigo Gomes,POR,"DF,FW",Wolves,21.0,2003.0,9.0,309,267,41,1,1,0,23,39,1,0,1,0,212,1,10
Toti Gomes,POR,DF,Wolves,25.0,1999.0,29.0,1714,1618,95,46,0,3,13,35,0,0,0,0,1473,1,21
Diego Gómez,PAR,MF,Brighton,21.0,2003.0,5.7,302,283,19,2,4,2,12,1,6,2,3,0,243,0,9
Joe Gomez,ENG,DF,Liverpool,27.0,1997.0,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2
Nicolás González,ESP,MF,Manchester City,22.0,2002.0,8.4,625,603,21,19,1,0,1,2,0,0,0,0,575,1,5
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,23.0,2001.0,27.0,982,857,117,24,9,4,131,34,53,35,7,0,720,8,38
Ryan Gravenberch,NED,MF,Liverpool,22.0,2002.0,35.1,1927,1889,32,16,8,7,7,10,0,0,0,0,1718,6,15
