Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Malcolm Ebiowei,ENG,"FW,MF",Hull City,18.0,2003.0,5.8,15,6,7,5,3,7,16,43.8,9,3,0,3,5,20,0,0
Josh Eccles,ENG,"MF,DF",Coventry City,22.0,2000.0,26.9,96,56,47,45,4,49,91,53.8,42,54,10,44,40,136,45,0
Rarmani Edmonds-Green,ENG,DF,Wigan Athletic,23.0,1999.0,2.7,7,4,5,2,0,4,6,66.7,2,2,1,1,2,9,7,0
Rarmani Edmonds-Green,ENG,"DF,MF",Huddersfield,23.0,1999.0,9.3,16,10,10,5,1,8,11,72.7,3,14,7,7,2,18,40,0
Tayo Edun,ENG,"DF,MF",Blackburn,24.0,1998.0,2.2,9,6,7,2,0,6,9,66.7,3,2,1,1,3,12,3,0
Gwion Edwards,WAL,"FW,MF",Wigan Athletic,29.0,1993.0,0.3,5,5,2,2,1,1,1,100.0,0,1,0,1,0,5,0,0
John Egan,IRL,DF,Sheffield Utd,29.0,1992.0,43.9,59,28,35,23,1,34,47,72.3,13,56,29,27,80,139,191,3
CJ Egan-Riley,ENG,"MF,DF",Burnley,19.0,2003.0,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Kelvin Ehibhatiomhan,ENG,FW,Reading,19.0,2003.0,2.2,5,3,0,2,3,1,5,20.0,4,2,0,2,1,6,1,0
Ovie Ejaria,ENG,MF,Reading,24.0,1997.0,4.7,13,6,4,4,5,7,11,63.6,4,1,0,1,13,26,3,0
Hjalmar Ekdal,SWE,DF,Burnley,23.0,1998.0,8.5,18,11,11,6,1,12,16,75.0,4,9,4,5,3,21,22,2
Marvin Ekpiteta,ENG,DF,Blackpool,26.0,1995.0,22.9,32,12,23,9,0,9,11,81.8,2,31,20,11,35,67,120,1
Pierre Ekwah Elimby,FRA,MF,Sunderland,20.0,2002.0,5.0,11,7,3,7,1,7,17,41.2,10,9,1,8,8,19,6,0
Callum Elder,AUS,DF,Hull City,27.0,1995.0,21.1,27,16,16,9,2,8,18,44.4,10,28,12,16,26,53,68,0
Aidomo Emakhu,IRL,MF,Millwall,18.0,2003.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Elliot Embleton,ENG,"MF,FW",Sunderland,23.0,1999.0,11.8,18,8,5,9,4,6,14,42.9,8,13,4,9,5,23,12,0
Romain Esse,ENG,"FW,MF",Millwall,17.0,2005.0,1.9,5,2,1,4,0,0,3,0.0,3,2,1,1,0,5,0,0
Oscar Estupiñan,COL,FW,Hull City,25.0,1996.0,28.2,14,10,4,8,2,6,22,27.3,16,14,2,12,5,19,32,0
Kion Etete,ENG,FW,Cardiff City,20.0,2001.0,13.6,20,10,10,8,2,9,18,50.0,9,20,3,17,6,26,14,0
Neil Etheridge,PHI,GK,Birmingham City,32.0,1990.0,3.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Ched Evans,WAL,FW,Preston,33.0,1988.0,14.4,8,7,1,5,2,2,8,25.0,6,15,2,13,4,12,9,0
Corry Evans,NIR,MF,Sunderland,32.0,1990.0,20.2,47,26,20,20,7,17,31,54.8,14,23,9,14,32,79,29,0
George Evans,ENG,MF,Millwall,27.0,1994.0,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
