Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Joe Rankin-Costello,ENG,DF,Blackburn,23.0,1999.0,24,24,2002,22.2,2,3,5,2,0,0,9,0,3.5,3.5,2.1,5.7,28,75,74,0.09,0.13,0.22,0.09,0.22,0.16,0.1,0.26,0.16,0.26
Milot Rashica,KVX,FW,Norwich City,26.0,1996.0,4,3,224,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,8,9,26,0.0,0.4,0.4,0.0,0.4,0.1,0.11,0.2,0.1,0.2
Oliver Rathbone,ENG,MF,Rotherham Utd,25.0,1996.0,38,32,2724,30.3,4,2,6,4,0,0,8,0,1.6,1.6,1.4,3.0,50,115,99,0.13,0.07,0.2,0.13,0.2,0.05,0.05,0.1,0.05,0.1
Adam Reach,ENG,"FW,MF",West Brom,29.0,1993.0,18,3,446,5.0,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.2,14,16,36,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.24,0.19,0.24
Omar Rekik,TUN,DF,Wigan Athletic,20.0,2001.0,11,10,751,8.3,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.2,16,29,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Jordan Rhodes,SCO,FW,Huddersfield,32.0,1990.0,34,15,1457,16.2,5,0,5,4,1,1,2,0,6.1,5.3,0.5,5.8,5,19,79,0.31,0.0,0.31,0.25,0.25,0.38,0.03,0.4,0.33,0.36
Rico Richards,ENG,DF,West Brom,18.0,2003.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Richards,ENG,"MF,FW",QPR,21.0,2000.0,15,1,258,2.9,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,8,16,19,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.39,0.2,0.39
Emil Riis Jakobsen,DEN,FW,Preston,24.0,1998.0,24,18,1647,18.3,5,0,5,5,0,0,0,0,5.0,5.0,1.4,6.4,27,17,126,0.27,0.0,0.27,0.27,0.27,0.27,0.08,0.35,0.27,0.35
Andy Rinomhota,ZIM,MF,Cardiff City,25.0,1997.0,39,26,2404,26.7,0,3,3,0,0,0,4,0,0.5,0.5,1.6,2.2,27,73,53,0.0,0.11,0.11,0.0,0.11,0.02,0.06,0.08,0.02,0.08
Connor Roberts,WAL,DF,Burnley,26.0,1995.0,43,39,3530,39.2,4,6,10,4,0,0,6,1,3.2,3.2,2.3,5.5,71,289,145,0.1,0.15,0.25,0.1,0.25,0.08,0.06,0.14,0.08,0.14
Liam Roberts,ENG,GK,Middlesbrough,27.0,1994.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Roberts,ENG,DF,Birmingham City,32.0,1990.0,25,20,1742,19.4,0,1,1,0,0,0,4,0,2.3,2.3,0.9,3.3,1,53,8,0.0,0.05,0.05,0.0,0.05,0.12,0.05,0.17,0.12,0.17
Patrick Roberts,ENG,"FW,MF",Sunderland,25.0,1997.0,42,29,2644,29.4,5,7,12,5,0,0,3,0,4.6,4.6,6.8,11.4,132,148,216,0.17,0.24,0.41,0.17,0.41,0.16,0.23,0.39,0.16,0.39
Tyler Roberts,WAL,"FW,MF",QPR,23.0,1999.0,18,14,1171,13.0,3,0,3,3,0,0,2,0,3.5,3.5,1.2,4.8,30,40,58,0.23,0.0,0.23,0.23,0.23,0.27,0.09,0.37,0.27,0.37
Callum Robinson,IRL,MF,West Brom,27.0,1995.0,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,5,5,0.0,0.0,0.0,0.0,0.0,0.21,0.13,0.34,0.21,0.34
Callum Robinson,IRL,"FW,MF",Cardiff City,27.0,1995.0,22,19,1553,17.3,5,6,11,5,0,2,2,1,6.3,4.7,2.7,7.5,36,56,99,0.29,0.35,0.64,0.29,0.64,0.37,0.16,0.52,0.27,0.43
Jack Robinson,ENG,DF,Sheffield Utd,28.0,1993.0,27,25,2131,23.7,3,1,4,3,0,0,4,0,1.5,1.5,2.0,3.5,25,91,12,0.13,0.04,0.17,0.13,0.17,0.06,0.09,0.15,0.06,0.15
Jay Rodriguez,ENG,FW,Burnley,33.0,1989.0,28,20,1817,20.2,10,2,12,8,2,2,1,0,9.0,7.5,1.5,9.0,12,43,68,0.5,0.1,0.59,0.4,0.5,0.45,0.08,0.52,0.37,0.44
