Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Gabriel Delfim,BRA,GK,Atlético Mineiro,22,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Deyverson,BRA,FW,Fortaleza,33,1991,13.0,4,4,2,0,2,1,7,14.3,6,4,1,3,5,9,18,0
Enzo Díaz,ARG,DF,São Paulo,29,1995,20.9,77,49,46,24,7,39,66,59.1,27,25,7,18,19,96,64,0
Lautaro Díaz,ARG,"FW,MF",Cruzeiro,26,1998,0.9,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
Lautaro Díaz,ARG,FW,Santos,26,1998,11.3,5,0,0,1,4,2,5,40.0,3,14,2,12,3,8,7,0
Dieguinho Diego,BRA,MF,Ceará,29,1995,29.5,56,29,25,31,0,22,45,48.9,23,22,12,10,32,88,68,5
Dieguinho,BRA,"FW,DF",Corinthians,17,2007,5.0,6,4,1,3,2,4,11,36.4,7,5,0,5,1,7,5,0
Diogenes,BRA,GK,Santos,24,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dodi,BRA,MF,Grêmio,28,1996,26.0,51,28,21,25,5,27,48,56.3,21,30,9,21,29,80,45,0
Fabricio Domínguez,URU,MF,Sport Recife,26,1998,1.1,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,0,0
Matheus Donelli,BRA,GK,Corinthians,22,2002,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Mailton dos Santos,BRA,DF,São Paulo,26,1998,4.3,4,2,2,2,0,4,7,57.1,3,3,1,2,4,8,10,0
Thiago dos Santos,BRA,"MF,DF",Fluminense,35,1989,3.2,10,8,3,7,0,4,11,36.4,7,3,1,2,3,13,12,0
Alexis Duarte,PAR,DF,Santos,24,2000,4.5,9,3,5,4,0,4,5,80.0,1,5,2,3,3,12,25,0
David Duarte,BRA,DF,Bahia,30,1995,24.5,19,11,13,6,0,7,13,53.8,6,25,22,3,14,33,162,0
Dudu,BRA,"FW,MF",Cruzeiro,33,1992,2.4,2,1,0,1,1,1,3,33.3,2,3,0,3,1,3,0,0
Dudu,BRA,MF,Vitória,25,1999,3.5,16,9,7,8,1,8,16,50.0,8,4,1,3,3,19,4,0
Dudu,BRA,"MF,FW",Atlético Mineiro,33,1992,11.6,8,3,2,5,1,1,2,50.0,1,4,0,4,3,11,3,0
Edenílson,BRA,MF,Grêmio,35,1989,20.0,17,14,4,9,4,5,10,50.0,5,16,4,12,17,34,8,1
Eder,BRA,DF,Ceará,29,1995,3.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,20,0
EDU,BRA,DF,Vitória,24,2000,11.9,33,19,26,6,1,17,22,77.3,5,11,6,5,11,44,96,0
Carlos Eduardo,BRA,"MF,FW",Cruzeiro,35,1989,10.1,14,6,3,8,3,7,20,35.0,13,15,4,11,7,21,13,0
Carlos Eduardo,BRA,"FW,MF",Mirassol,28,1996,8.2,12,9,4,2,6,7,15,46.7,8,6,0,6,5,17,20,0
Carlos Eduardo,BRA,"FW,DF",Vitória,28,1996,0.5,0,0,0,0,0,0,0,,0,3,2,1,1,1,0,0
Alysson Edward,BRA,"FW,MF",Grêmio,18,2006,19.1,47,25,19,21,7,21,33,63.6,12,37,1,36,16,63,11,0
Rodrigo Ely,BRA,DF,Grêmio,31,1993,0.4,1,1,1,0,0,0,0,,0,1,1,0,1,2,0,0
Emerson,BRA,DF,Flamengo,26,1999,13.9,29,18,16,10,3,16,25,64.0,9,11,1,10,20,49,33,2
Leandro Emmanuel Martínez,ARG,MF,Fortaleza,30,1994,8.2,17,10,5,11,1,9,18,50.0,9,10,2,8,7,24,10,1
Ênio,BRA,"MF,FW",Juventude,23,2001,12.3,9,5,5,3,1,3,10,30.0,7,7,0,7,1,10,12,1
Erick,BRA,"MF,DF",Bahia,27,1997,7.6,16,9,10,5,1,3,13,23.1,10,18,8,10,8,24,17,0
Erick,BRA,"MF,FW",Vitória,27,1997,22.8,28,17,12,11,5,12,22,54.5,10,23,0,23,13,41,24,1
Gonzalo Escobar,ARG,DF,Santos,27,1997,22.3,79,57,48,25,6,48,64,75.0,16,30,8,22,39,118,92,2
Lucas Esteves,BRA,DF,Grêmio,24,2000,7.5,12,10,5,6,1,4,5,80.0,1,9,1,8,10,22,22,1
Guilherme Estrella,BRA,MF,Vasco da Gama,19,2005,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Lucas Evangelista,BRA,MF,Palmeiras,29,1995,11.6,30,19,9,20,1,11,27,40.7,16,9,3,6,6,36,9,0
Éverson,BRA,GK,Atlético Mineiro,34,1990,36.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,19,2
Evertton,BRA,MF,Flamengo,21,2003,10.9,17,12,6,9,2,9,15,60.0,6,13,2,11,4,21,11,0
Ewerton,BRA,DF,Juventude,24,2000,12.8,23,16,15,6,2,13,31,41.9,18,5,1,4,21,44,42,1
