Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Saúl Ñíguez,ESP,MF,Flamengo,30,1994,12.8,0,22,3,13.6,1.71,0.23,0.0,0.0,21.7,1,0,0,1.3,1.3,0.06,-1.3,-1.3
Nonato,BRA,MF,Fluminense,26,1998,10.2,2,12,4,33.3,1.18,0.39,0.17,0.5,19.4,0,0,0,0.7,0.7,0.06,1.3,1.3
Erick Noriega,PER,"DF,MF",Grêmio,23,2001,13.2,0,7,0,0.0,0.53,0.0,0.0,,13.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Lucas Oliveira,BRA,DF,Vasco da Gama,28,1996,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sérgio Oliveira,POR,MF,Sport Recife,32,1992,11.1,1,25,6,24.0,2.26,0.54,0.04,0.17,25.4,9,0,0,1.1,1.1,0.04,-0.1,-0.1
Cauly Oliveira Souza,BRA,"FW,MF",Bahia,29,1995,10.1,1,19,4,21.1,1.88,0.4,0.05,0.25,13.9,1,0,0,2.7,2.7,0.14,-1.7,-1.7
Cristian Olivera,URU,"FW,MF",Grêmio,22,2002,14.3,2,27,10,37.0,1.89,0.7,0.07,0.2,21.4,0,0,0,2.5,2.5,0.09,-0.5,-0.5
Christian Ortiz,ARG,MF,Sport Recife,32,1992,2.0,0,7,3,42.9,3.54,1.52,0.0,0.0,28.0,2,0,0,0.2,0.2,0.03,-0.2,-0.2
Leo Ortiz,BRA,DF,Flamengo,29,1996,24.5,1,18,6,33.3,0.74,0.25,0.06,0.17,13.2,0,0,0,1.4,1.4,0.08,-0.4,-0.4
Oscar,BRA,"FW,MF",São Paulo,33,1991,3.8,0,4,2,50.0,1.04,0.52,0.0,0.0,15.3,0,0,0,0.6,0.6,0.14,-0.6,-0.6
Osvaldo,BRA,"FW,MF",Vitória,37,1987,11.1,0,20,6,30.0,1.81,0.54,0.0,0.0,23.2,1,0,0,1.3,1.3,0.07,-1.3,-1.3
Otávio,BRA,MF,Fluminense,30,1994,2.4,0,1,0,0.0,0.41,0.0,0.0,,18.8,0,0,0,0.0,0.0,0.05,0.0,0.0
Luis Otávio,BRA,MF,Internacional,17,2007,8.6,0,4,2,50.0,0.47,0.23,0.0,0.0,22.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Luiz Otávio,BRA,DF,Mirassol,32,1992,1.8,0,2,0,0.0,1.09,0.0,0.0,,13.4,0,0,0,0.0,0.0,0.02,0.0,0.0
João Othavio Basso,BRA,DF,Santos,28,1997,5.8,1,1,1,100.0,0.17,0.17,1.0,1.0,9.1,0,0,0,0.2,0.2,0.19,0.8,0.8
Pablo,BRA,DF,Internacional,18,2006,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pablo,BRA,FW,Sport Recife,32,1992,11.7,3,24,5,20.8,2.05,0.43,0.13,0.6,14.3,1,0,0,2.3,2.3,0.1,0.7,0.7
Ruan Pablo,BRA,"FW,MF",Bahia,16,2008,0.6,0,2,1,50.0,3.53,1.76,0.0,0.0,7.0,0,0,0,0.4,0.4,0.18,-0.4,-0.4
Bruno Pacheco,BRA,DF,Fortaleza,33,1991,14.0,1,3,2,66.7,0.21,0.14,0.33,0.5,12.4,0,0,0,0.2,0.2,0.06,0.8,0.8
Luis Pacheco,BRA,MF,Palmeiras,16,2008,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonçalo Paciência,POR,FW,Sport Recife,30,1994,2.2,0,10,2,20.0,4.59,0.92,0.0,0.0,19.7,1,0,0,0.6,0.6,0.06,-0.6,-0.6
